ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
GM,2020,FY,0.2723,1.0,0.3354,0.8118,1.0,1.0618,1.0,1.0,3.1652,1.2318
GM,2021,Q1,0.0008,0.008,0.1089,0.9616,1.0,1.0,1.0246,124.4843,9.1836,1.0655
GM,2021,Q2,0.1942,0.4801,0.4241,0.954,1.0,1.1072,1.0336,2.0828,2.6109,1.0835
GM,2021,Q3,0.1508,0.3142,0.5406,0.8878,1.0,1.0,1.0,3.1823,1.8499,1.1264
GM,2021,FY,0.2075,1.3113,0.1731,0.9141,1.1687,1.0,1.0,0.8912,5.7756,1.0939
GM,2022,Q2,0.2878,0.8644,0.3369,0.9883,1.1994,1.0,1.0469,1.3876,2.9682,1.0593
GM,2022,Q3,1.1445,2.6742,0.4536,0.9434,2.9133,1.0,1.0,1.0894,2.2043,1.06
GM,2023,Q1,0.4044,0.723,0.6108,0.9157,1.0108,1.0935,1.0,1.3979,1.7903,1.0921
GM,2023,Q3,0.0962,0.2929,0.3461,0.9492,0.4143,1.2484,1.0,1.4143,3.6073,1.0535
GM,2023,FY,0.2589,0.9783,0.2789,0.9488,1.2414,1.0,1.0,1.2688,3.5858,1.054
GM,2024,Q1,0.689,1.3051,0.5359,0.9851,1.1946,1.0,1.0507,0.9153,1.866,1.0667
GM,2024,Q2,0.5096,1.1677,0.4513,0.9671,1.1608,1.0,1.0553,0.9941,2.216,1.0911
GM,2024,Q3,0.6053,2.5624,0.2508,0.9418,3.0591,1.0,1.0,1.1939,3.9871,1.0618
GM,2024,FY,0.2967,0.843,0.3714,0.9479,1.0885,1.0363,1.0,1.2912,2.7904,1.055
GM,2025,Q3,1.3141,1.4119,0.9221,1.0093,1.0725,1.0499,1.0711,0.7596,1.1386,1.0612
GM,2025,FY,0.6436,0.8344,0.8861,0.8705,1.0782,1.0148,1.0,1.2922,1.1452,1.1488
GM,2026,Q1,0.6722,0.7298,0.9333,0.9869,1.0035,1.0715,1.0483,1.3751,1.1482,1.0622
GM,2026,Q2,0.6192,0.5767,1.029,1.0434,0.5767,1.029,1.0434,1.0,1.0,1.0
