ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
GPC,2021,Q2,0.1966,0.4801,0.4193,0.9764,1.0,1.0948,1.0579,2.0828,2.6109,1.0835
GPC,2021,FY,0.1876,1.1221,0.1829,0.9141,1.0,1.0563,1.0,0.8912,5.7756,1.0939
GPC,2022,Q1,0.121,0.3983,0.3334,0.911,1.0,1.0513,1.0,2.5105,3.1531,1.0978
GPC,2022,Q3,0.3928,0.9179,0.4536,0.9434,1.0,1.0,1.0,1.0894,2.2043,1.06
GPC,2022,FY,0.4023,1.3873,0.3052,0.95,3.443,1.0,1.0,2.4817,3.2761,1.0527
GPC,2023,Q1,0.455,0.8483,0.5858,0.9157,1.1859,1.0487,1.0,1.3979,1.7903,1.0921
GPC,2023,Q2,0.9233,2.0621,0.4826,0.9278,2.2779,1.0602,1.0,1.1046,2.1967,1.0779
GPC,2023,Q3,0.2361,0.8547,0.2772,0.9966,1.2087,1.0,1.05,1.4143,3.6073,1.0535
GPC,2024,Q1,0.6309,1.1896,0.5657,0.9375,1.0889,1.0557,1.0,0.9153,1.866,1.0667
GPC,2024,Q2,0.2398,0.5461,0.4792,0.9165,0.5428,1.0618,1.0,0.9941,2.216,1.0911
GPC,2024,FY,0.3714,1.0347,0.3786,0.9479,1.3361,1.0566,1.0,1.2912,2.7904,1.055
GPC,2025,Q1,0.4632,0.9094,0.566,0.8998,1.0032,1.0,1.0,1.1031,1.7668,1.1113
GPC,2025,Q2,0.564,0.8817,0.6799,0.9408,1.008,1.0,1.0,1.1433,1.4707,1.0629
GPC,2025,Q3,1.37,1.4149,0.9845,0.9835,1.0748,1.1209,1.0437,0.7596,1.1386,1.0612
GPC,2025,FY,0.6487,0.8511,0.8756,0.8705,1.0998,1.0027,1.0,1.2922,1.1452,1.1488
GPC,2026,Q1,0.686,0.7877,0.898,0.9698,1.0832,1.031,1.0301,1.3751,1.1482,1.0622
GPC,2026,Q2,1.1931,1.0963,1.0361,1.0504,1.0963,1.0361,1.0504,1.0,1.0,1.0
