ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
GTLB,2022,Q3,0.1037,0.7024,0.1542,0.9567,1.0,0.5957,1.0,1.4236,3.8621,1.0452
GTLB,2022,FY,0.0993,0.9065,0.1313,0.8347,1.0,0.3832,1.0,1.1032,2.9185,1.198
GTLB,2023,Q1,0.6371,1.1736,0.3783,1.4352,1.0,0.7701,1.645,0.8521,2.0358,1.1461
GTLB,2023,Q2,0.1332,0.7815,0.1814,0.94,1.0,0.5912,1.0,1.2796,3.2595,1.0638
GTLB,2023,Q3,0.3547,1.7516,0.2173,0.9319,1.5847,1.0,1.0,0.9047,4.6026,1.0731
GTLB,2023,FY,0.3276,1.5244,0.2475,0.8684,1.8735,1.0,1.0,1.229,4.0407,1.1516
GTLB,2024,Q2,0.5372,2.3588,0.2553,0.8919,1.7383,0.6216,1.0,0.7369,2.4348,1.1212
GTLB,2024,Q3,0.801,1.8206,0.4966,0.886,1.6913,1.0,1.0,0.929,2.0138,1.1287
GTLB,2024,FY,0.225,1.2563,0.1985,0.9026,1.6603,0.6159,1.0,1.3216,3.1036,1.1079
GTLB,2025,Q1,0.267,1.3145,0.2272,0.8941,1.4516,0.7074,1.0,1.1043,3.1144,1.1185
GTLB,2025,Q2,0.5572,1.9804,0.3207,0.8772,2.6371,0.7221,1.0,1.3316,2.2513,1.14
GTLB,2025,Q3,0.3059,1.4343,0.236,0.9036,1.3247,0.3433,1.0,0.9236,1.4544,1.1066
GTLB,2025,FY,0.5081,1.0543,0.5509,0.8748,1.6795,0.7001,1.0,1.593,1.2707,1.1431
GTLB,2026,Q1,0.5383,0.8687,0.6908,0.8971,1.3335,1.0,1.0,1.5351,1.4476,1.1148
GTLB,2026,Q2,0.696,0.8263,0.6772,1.2437,0.8855,0.9594,1.3743,1.0717,1.4166,1.105
GTLB,2026,Q3,1.8575,1.6326,0.8208,1.3861,1.6326,0.8208,1.3861,1.0,1.0,1.0
GTLB,2026,FY,2.1265,2.2511,0.9447,1.0,2.2511,0.9447,1.0,1.0,1.0,1.0
GTLB,2027,Q1,2.0888,1.5613,0.9793,1.3661,1.5613,0.9793,1.3661,1.0,1.0,1.0
