ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
HBAN,2020,FY,0.1002,1.0,0.1453,0.6898,1.0,1.0,1.0,1.0,6.8813,1.4498
HBAN,2021,Q2,0.0969,0.4728,0.2166,0.9463,1.0,1.0,1.0,2.1151,4.6159,1.0567
HBAN,2021,Q3,0.274,0.9006,0.3121,0.9749,1.0,1.0,1.0,1.1104,3.2045,1.0257
HBAN,2022,Q1,0.0521,0.1566,0.34,0.9794,1.0,1.0,1.0,6.3858,2.9415,1.0211
HBAN,2022,Q2,0.3929,1.2798,0.325,0.9446,1.2786,1.0,1.0,0.9991,3.0769,1.0587
HBAN,2022,Q3,0.3648,0.6984,0.5365,0.9736,1.4062,1.0,1.0,2.0136,1.864,1.0271
HBAN,2022,FY,0.1969,0.489,0.3982,1.0113,1.259,1.0,1.0,2.5745,2.5116,0.9889
HBAN,2023,Q1,1.1127,1.9618,0.5771,0.9828,1.3874,1.0,1.0,0.7072,1.7328,1.0175
HBAN,2023,Q2,0.9162,1.6386,0.5923,0.9441,1.2529,1.0,1.0,0.7646,1.6885,1.0592
HBAN,2023,Q3,1.4056,3.983,0.3745,0.9422,3.0952,1.0,1.0,0.7771,2.6701,1.0613
HBAN,2024,Q1,0.3522,0.7569,0.504,0.9233,1.224,1.0,1.0,1.6173,1.9839,1.0831
HBAN,2024,Q2,0.3081,0.6639,0.4855,0.9558,1.0311,1.0,1.0,1.5531,2.0597,1.0463
HBAN,2024,Q3,0.6554,1.4719,0.4651,0.9574,1.0738,1.0,1.0,0.7295,2.1503,1.0445
HBAN,2024,FY,0.2424,1.0142,0.3393,0.7043,1.1842,1.0,1.0,1.1676,2.9473,1.4199
HBAN,2025,Q1,0.4393,0.9074,0.5394,0.8976,0.8912,1.0,1.0,0.9822,1.854,1.1141
HBAN,2025,Q2,0.6451,0.9687,0.7044,0.9455,1.1355,1.0,1.0,1.1723,1.4196,1.0577
HBAN,2025,Q3,0.1612,0.2315,0.7206,0.966,0.405,1.0,1.0,1.7491,1.3877,1.0352
HBAN,2025,FY,0.5662,0.737,0.7797,0.9852,1.1851,1.0,1.0,1.608,1.2825,1.015
HBAN,2026,Q1,0.7654,0.9706,0.8092,0.9746,1.4048,1.0,1.0,1.4474,1.2358,1.0261
