ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
HLT,2020,FY,0.2565,1.0,0.3159,0.8118,1.0,1.0,1.0,1.0,3.1652,1.2318
HLT,2021,Q1,0.0009,0.008,0.1089,1.0501,1.0,1.0,1.1189,124.4843,9.1836,1.0655
HLT,2021,Q2,0.1612,0.4801,0.383,0.8764,1.0,1.0,0.9495,2.0828,2.6109,1.0835
HLT,2021,Q3,0.1522,0.3142,0.5406,0.8958,1.0,1.0,1.0091,3.1823,1.8499,1.1264
HLT,2022,FY,0.1544,0.5415,0.3052,0.9342,1.3439,1.0,0.9834,2.4817,3.2761,1.0527
HLT,2023,Q1,0.7204,1.4086,0.5586,0.9157,1.9691,1.0,1.0,1.3979,1.7903,1.0921
HLT,2023,Q2,0.7578,1.6277,0.5018,0.9278,1.798,1.1024,1.0,1.1046,2.1967,1.0779
HLT,2023,Q3,0.3665,1.3644,0.3191,0.8418,1.9297,1.1511,0.8869,1.4143,3.6073,1.0535
HLT,2023,FY,0.3161,1.1946,0.2789,0.9488,1.5157,1.0,1.0,1.2688,3.5858,1.054
HLT,2024,Q1,0.7313,1.4556,0.5359,0.9375,1.3324,1.0,1.0,0.9153,1.866,1.0667
HLT,2024,Q2,0.5949,1.2579,0.5161,0.9165,1.2504,1.1436,1.0,0.9941,2.216,1.0911
HLT,2024,Q3,0.2017,0.9216,0.2508,0.8727,1.1003,1.0,0.9266,1.1939,3.9871,1.0618
HLT,2025,Q1,0.5181,1.0172,0.566,0.8998,1.1221,1.0,1.0,1.1031,1.7668,1.1113
HLT,2025,Q2,0.5797,1.0299,0.7354,0.7654,1.1775,1.0816,0.8136,1.1433,1.4707,1.0629
HLT,2025,Q3,0.5626,0.4895,1.3981,0.8221,0.3718,1.5918,0.8724,0.7596,1.1386,1.0612
HLT,2025,FY,0.9184,1.062,0.9935,0.8705,1.3723,1.1377,1.0,1.2922,1.1452,1.1488
HLT,2026,Q1,0.6633,0.8301,1.0016,0.7978,1.1415,1.15,0.8474,1.3751,1.1482,1.0622
