ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
HST,2021,Q1,0.0357,0.1474,0.271,0.893,1.0,0.7241,1.0,6.7824,2.6723,1.1198
HST,2021,Q2,0.1843,0.6477,0.335,0.8496,1.0,0.7538,1.0,1.544,2.2501,1.177
HST,2021,Q3,0.1849,0.4542,0.4067,1.0008,1.0,0.8511,1.0,2.2018,2.0926,0.9992
HST,2021,FY,0.3466,1.7072,0.1774,1.1442,1.0,0.6861,1.0,0.5857,3.8672,0.874
HST,2022,Q3,0.4282,1.3641,0.3276,0.9583,1.926,1.0,1.0,1.4119,3.0526,1.0435
HST,2023,Q1,0.9427,2.0978,0.4373,1.0276,2.6917,1.1211,1.0,1.2831,2.5635,0.9732
HST,2023,Q2,1.1231,2.1018,0.5222,1.0233,2.1464,1.1775,1.0,1.0212,2.2549,0.9772
HST,2023,Q3,0.4169,0.9407,0.4976,0.8907,1.0944,1.0,1.0,1.1634,2.0096,1.1227
HST,2023,FY,0.818,1.5673,0.3987,1.3092,1.784,1.0,1.0,1.1383,2.5083,0.7638
HST,2024,Q1,0.8341,1.5899,0.4067,1.2897,1.2858,1.267,1.0,0.8087,3.1149,0.7754
HST,2024,FY,0.7262,1.7119,0.4035,1.0513,1.6979,1.0,1.0,0.9918,2.4782,0.9512
HST,2025,Q1,0.4641,0.7641,0.5057,1.2009,1.0652,1.0,1.0,1.3941,1.9773,0.8327
HST,2025,Q2,0.6933,0.6435,1.0915,0.987,1.1385,1.4288,1.0,1.7692,1.3091,1.0132
HST,2025,Q3,0.2455,0.2563,0.9516,1.0068,0.3338,1.1396,1.0,1.3024,1.1975,0.9933
HST,2025,FY,0.7688,0.7591,0.9404,1.077,1.246,1.1454,1.0,1.6414,1.218,0.9285
HST,2026,Q1,0.9676,0.7695,1.1728,1.0722,1.1183,1.4379,1.0,1.4533,1.226,0.9327
