ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
HSY,2020,FY,0.5308,1.0,0.6386,0.8312,1.0,1.0,1.0,1.0,1.5659,1.2031
HSY,2021,Q1,0.0042,0.0163,0.2184,1.1786,1.0,1.0,1.1724,61.3575,4.5793,0.9948
HSY,2021,Q2,0.1031,0.1624,0.6013,1.0554,1.0,1.0756,1.1182,6.1575,1.7889,1.0595
HSY,2021,Q3,0.0621,0.7809,0.07,1.1358,1.0,1.0718,1.1288,1.2806,15.3201,0.9938
HSY,2021,FY,0.1372,1.6617,0.075,1.1,4.7734,1.1861,1.1633,2.8725,15.808,1.0575
HSY,2022,Q1,0.1189,0.4808,0.2524,0.9802,1.1613,1.2501,0.9857,2.4151,4.9534,1.0057
HSY,2022,Q2,0.3434,0.491,0.7756,0.9017,1.1758,1.2026,0.9027,2.395,1.5506,1.0011
HSY,2022,FY,0.3808,0.7695,0.5659,0.8745,1.1008,1.0,1.0,1.4306,1.767,1.1435
HSY,2023,Q3,0.5004,0.6647,0.7303,1.0308,1.1688,1.0,1.0,1.7583,1.3693,0.9701
HSY,2024,Q1,0.3,1.1562,0.2435,1.0657,1.1205,1.0,1.0,0.9692,4.1074,0.9383
HSY,2024,Q2,1.0277,1.135,0.895,1.0116,0.4942,1.6645,1.0,0.4354,1.8597,0.9885
HSY,2024,Q3,0.2845,0.6588,0.441,0.9793,0.3901,1.997,1.0,0.5922,4.5286,1.0211
HSY,2024,FY,0.7169,1.0501,0.6881,0.9921,1.1614,1.0,1.0,1.106,1.4533,1.008
HSY,2025,Q1,0.5336,0.7004,0.7429,1.0255,1.0887,1.0,1.0,1.5545,1.346,0.9751
HSY,2025,Q2,0.7877,1.0817,0.634,1.1486,2.1765,1.0117,1.1522,2.0121,1.5959,1.0031
HSY,2025,Q3,1.0735,1.2253,0.7974,1.0987,1.05,1.0951,1.1086,0.8569,1.3734,1.009
HSY,2025,FY,0.8126,0.7759,0.9602,1.0906,1.1222,1.0817,1.0,1.4463,1.1265,0.917
HSY,2026,Q1,0.6747,0.8336,0.7558,1.0708,0.9543,1.163,1.0743,1.1448,1.5388,1.0032
