ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
HUM,2020,FY,0.3395,1.0,0.3909,0.8686,1.0,1.0,1.0,1.0,2.5585,1.1512
HUM,2021,Q1,0.3236,1.0,0.3134,1.0326,1.0,1.0417,1.186,1.0,3.3243,1.1486
HUM,2021,Q2,0.2252,0.4868,0.4893,0.9457,1.0,1.0,1.0,2.0543,2.0437,1.0575
HUM,2021,Q3,0.5263,0.8573,0.7042,0.8717,1.0,1.0715,1.0,1.1664,1.5216,1.1472
HUM,2022,Q2,0.1196,0.6236,0.2262,0.8479,0.543,1.0293,1.0,0.8708,4.5502,1.1794
HUM,2022,Q3,0.1959,0.6796,0.316,0.9125,1.031,1.0,1.0,1.5172,3.1645,1.0959
HUM,2023,Q1,0.3623,0.8496,0.4581,0.9309,1.2939,1.0486,1.1168,1.5229,2.2891,1.1997
HUM,2023,Q2,0.1995,0.6634,0.3364,0.8939,1.1461,1.0304,1.0,1.7276,3.0625,1.1187
HUM,2023,Q3,0.3282,1.0776,0.3328,0.9154,1.1016,1.0552,1.0,1.0222,3.1712,1.0925
HUM,2023,FY,0.2256,0.8086,0.3037,0.9184,1.0766,1.0366,1.0,1.3314,3.413,1.0888
HUM,2024,Q2,0.6483,1.0871,0.6384,0.9341,1.1304,1.0372,1.0,1.0398,1.6246,1.0706
HUM,2024,Q3,2.1643,5.0561,0.4764,0.8985,3.5051,1.0105,1.0,0.6932,2.1212,1.113
HUM,2024,FY,0.3551,1.1491,0.3743,0.8256,1.4177,1.0,1.0,1.2338,2.6715,1.2113
HUM,2025,Q1,0.4244,0.8499,0.5172,0.9655,1.1073,1.0,1.0,1.3029,1.9334,1.0358
HUM,2025,Q2,1.9476,2.1429,0.7713,1.1783,2.4115,1.0085,1.2498,1.1253,1.3075,1.0607
HUM,2025,Q3,0.1921,0.2016,0.8038,1.1855,0.4086,1.0647,1.265,2.0268,1.3245,1.067
HUM,2025,FY,0.4946,0.8688,0.9508,0.5988,1.1011,1.0092,1.0,1.2674,1.0615,1.67
HUM,2026,Q1,1.0481,0.9771,0.9463,1.1336,1.339,1.0308,1.2098,1.3704,1.0893,1.0672
