ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
IBM,2021,Q3,0.0243,0.1292,0.2222,0.8476,1.0,1.0,0.9422,7.7389,4.5013,1.1116
IBM,2022,Q1,0.0338,0.0857,0.4692,0.8398,1.0,1.0781,1.0,11.6625,2.2975,1.1907
IBM,2022,Q2,0.0564,0.4108,0.15,0.9148,1.0,1.0,0.9568,2.4341,6.6682,1.046
IBM,2022,FY,0.2885,0.9065,0.3813,0.8347,1.0,1.1127,1.0,1.1032,2.9185,1.198
IBM,2023,Q1,0.6111,1.2684,0.5254,0.917,1.0808,1.0696,1.051,0.8521,2.0358,1.1461
IBM,2023,Q3,0.1792,0.885,0.2173,0.9319,0.8007,1.0,1.0,0.9047,4.6026,1.0731
IBM,2023,FY,0.196,0.9122,0.2475,0.8684,1.1211,1.0,1.0,1.229,4.0407,1.1516
IBM,2024,Q2,0.5593,1.3797,0.4372,0.9271,1.0168,1.0646,1.0395,0.7369,2.4348,1.1212
IBM,2024,Q3,0.5599,1.1256,0.5614,0.886,1.0457,1.1306,1.0,0.929,2.0138,1.1287
IBM,2025,Q1,0.2967,0.9189,0.3612,0.8941,1.0147,1.1248,1.0,1.1043,3.1144,1.1185
IBM,2025,Q2,0.2954,0.783,0.4442,0.8494,1.0426,1.0,0.9683,1.3316,2.2513,1.14
IBM,2025,Q3,0.8143,1.1986,0.7698,0.8826,1.107,1.1196,0.9767,0.9236,1.4544,1.1066
IBM,2025,FY,0.5596,0.6853,0.9334,0.8748,1.0917,1.186,1.0,1.593,1.2707,1.1431
IBM,2026,Q1,0.4458,0.717,0.748,0.8313,1.1006,1.0827,0.9267,1.5351,1.4476,1.1148
IBM,2026,Q2,0.3435,0.5081,0.8078,0.8369,0.5445,1.1444,0.9247,1.0717,1.4166,1.105
