ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
ICE,2020,Q2,0.7477,1.0,0.7868,0.9503,1.0,1.4034,1.0043,1.0,1.7837,1.0568
ICE,2020,FY,0.1002,1.0,0.1453,0.6898,1.0,1.0,1.0,1.0,6.8813,1.4498
ICE,2021,Q1,0.1039,0.4463,0.2351,0.9903,1.0,1.0,0.9992,2.2408,4.2533,1.009
ICE,2021,Q2,0.1503,0.5286,0.2986,0.9524,1.1181,1.3781,1.0064,2.1151,4.6159,1.0567
ICE,2021,Q3,0.2746,0.9006,0.3121,0.9769,1.0,1.0,1.002,1.1104,3.2045,1.0257
ICE,2022,Q1,0.0722,0.1585,0.4639,0.9811,1.0124,1.3646,1.0018,6.3858,2.9415,1.0211
ICE,2022,Q3,0.0918,0.1733,0.5365,0.9879,0.349,1.0,1.0146,2.0136,1.864,1.0271
ICE,2023,Q2,0.7908,0.6916,1.2111,0.9441,0.5288,2.0449,1.0,0.7646,1.6885,1.0592
ICE,2023,FY,0.3585,1.186,0.3187,0.9483,1.1121,1.0,1.0,0.9376,3.1376,1.0545
ICE,2024,Q1,0.2893,0.6216,0.504,0.9233,1.0053,1.0,1.0,1.6173,1.9839,1.0831
ICE,2024,Q2,0.7043,1.5205,0.4855,0.9541,2.3614,1.0,0.9982,1.5531,2.0597,1.0463
ICE,2024,Q3,0.799,1.3948,0.5983,0.9574,1.0176,1.2865,1.0,0.7295,2.1503,1.0445
ICE,2024,FY,0.2547,0.9002,0.4018,0.7043,1.051,1.1841,1.0,1.1676,2.9473,1.4199
ICE,2025,Q1,0.7691,1.1537,0.7428,0.8976,1.1331,1.3771,1.0,0.9822,1.854,1.1141
ICE,2025,Q2,0.4435,0.4884,0.9586,0.9472,0.5725,1.3609,1.0019,1.1723,1.4196,1.0577
ICE,2025,Q3,0.6836,0.7078,0.9958,0.9698,1.238,1.3819,1.0039,1.7491,1.3877,1.0352
ICE,2025,FY,0.8545,0.8158,1.0632,0.9852,1.3117,1.3635,1.0,1.608,1.2825,1.015
ICE,2026,Q1,1.1745,0.9043,1.3279,0.9781,1.3088,1.641,1.0036,1.4474,1.2358,1.0261
