ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
INSM,2020,FY,0.5898,1.0,0.3909,1.509,1.0,1.0,1.7372,1.0,2.5585,1.1512
INSM,2021,Q1,0.1464,1.0,0.0917,1.5955,1.0,0.305,1.8326,1.0,3.3243,1.1486
INSM,2021,Q2,0.2075,0.4868,0.2064,2.0653,1.0,0.4218,2.184,2.0543,2.0437,1.0575
INSM,2021,Q3,0.3236,0.8573,0.4331,0.8717,1.0,0.659,1.0,1.1664,1.5216,1.1472
INSM,2022,Q2,0.0754,0.8752,0.0561,1.5346,0.7621,0.2553,1.8098,0.8708,4.5502,1.1794
INSM,2022,Q3,0.0212,0.2506,0.0927,0.9125,0.3801,0.2932,1.0,1.5172,3.1645,1.0959
INSM,2022,FY,0.2949,0.7042,0.4481,0.9345,1.4923,1.0,1.0,2.1191,2.2315,1.0701
INSM,2023,Q1,0.1135,0.8672,0.157,0.8335,1.3206,0.3595,1.0,1.5229,2.2891,1.1997
INSM,2023,Q3,0.1393,1.4171,0.1074,0.9154,1.4486,0.3406,1.0,1.0222,3.1712,1.0925
INSM,2024,Q1,0.5422,1.8064,0.26,1.1545,1.4217,1.0,1.2171,0.787,3.8462,1.0542
INSM,2024,Q2,1.0672,1.3321,0.6155,1.3016,1.3851,1.0,1.3935,1.0398,1.6246,1.0706
INSM,2024,Q3,0.237,1.6841,0.1566,0.8985,1.1675,0.3322,1.0,0.6932,2.1212,1.113
INSM,2025,Q2,0.3591,1.0566,0.1914,1.7755,1.189,0.2503,1.8832,1.1253,1.3075,1.0607
INSM,2025,Q3,0.291,0.8882,0.2097,1.562,1.8002,0.2778,1.6667,2.0268,1.3245,1.067
INSM,2025,FY,0.3542,1.9501,0.3034,0.5988,2.4716,0.322,1.0,1.2674,1.0615,1.67
INSM,2026,Q1,2.7303,2.9572,0.5982,1.5434,4.0525,0.6516,1.6471,1.3704,1.0893,1.0672
