ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
IONS,2020,FY,0.3395,1.0,0.3909,0.8686,1.0,1.0,1.0,1.0,2.5585,1.1512
IONS,2021,Q2,0.2252,0.4868,0.4893,0.9457,1.0,1.0,1.0,2.0543,2.0437,1.0575
IONS,2021,Q3,0.4911,0.8573,0.6572,0.8717,1.0,1.0,1.0,1.1664,1.5216,1.1472
IONS,2021,FY,0.7864,1.9592,0.4173,0.962,2.792,1.3834,1.0,1.4251,3.3155,1.0395
IONS,2022,Q1,0.0512,0.3514,0.1669,0.8734,1.0,0.5539,1.0,2.8459,3.3199,1.145
IONS,2022,Q2,0.1849,0.9923,0.2198,0.8479,0.864,1.0,1.0,0.8708,4.5502,1.1794
IONS,2022,Q3,0.1359,0.2399,0.316,1.7934,0.3639,1.0,1.9654,1.5172,3.1645,1.0959
IONS,2023,Q1,0.2084,0.835,0.2994,0.8335,1.2716,0.6853,1.0,1.5229,2.2891,1.1997
IONS,2023,Q2,0.1007,0.6159,0.1828,0.8939,1.0639,0.56,1.0,1.7276,3.0625,1.1187
IONS,2023,FY,0.054,0.1408,0.2178,1.7627,0.1874,0.7434,1.9193,1.3314,3.413,1.0888
IONS,2024,Q1,0.5135,1.0699,0.26,1.8462,0.842,1.0,1.9463,0.787,3.8462,1.0542
IONS,2024,Q2,2.8023,2.478,0.6155,1.8372,2.5768,1.0,1.9668,1.0398,1.6246,1.0706
IONS,2024,Q3,0.2727,1.302,0.2331,0.8985,0.9026,0.4945,1.0,0.6932,2.1212,1.113
IONS,2025,Q1,0.8992,0.8453,0.5172,2.0565,1.1014,1.0,2.1301,1.3029,1.9334,1.0358
IONS,2025,Q2,1.6435,1.1652,1.0524,1.3402,1.3112,1.3761,1.4215,1.1253,1.3075,1.0607
IONS,2025,Q3,0.2933,0.5362,0.4147,1.319,1.0868,0.5493,1.4075,2.0268,1.3245,1.067
IONS,2025,FY,0.28,1.0562,0.4427,0.5988,1.3387,0.4699,1.0,1.2674,1.0615,1.67
IONS,2026,Q1,1.3651,1.3644,0.6672,1.4995,1.8698,0.7267,1.6003,1.3704,1.0893,1.0672
