ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
IR,2021,Q2,0.0997,0.2709,0.284,1.2957,1.0,1.0634,1.4633,3.6914,3.7439,1.1293
IR,2021,Q3,0.165,0.5497,0.2568,1.1694,1.0,1.0349,1.3516,1.8193,4.0308,1.1558
IR,2022,Q1,0.2718,0.5732,0.5157,0.9193,1.0,0.9261,1.0,1.7445,1.7957,1.0878
IR,2022,Q3,0.4968,1.2259,0.3384,1.1977,1.1497,1.0,1.3497,0.9378,2.9554,1.1269
IR,2022,FY,0.2324,0.5877,0.4395,0.8997,1.0,1.0,1.0,1.7015,2.2753,1.1114
IR,2023,Q1,0.2777,0.9168,0.3233,0.9368,1.1837,1.0848,1.0,1.2911,3.3549,1.0674
IR,2023,Q2,0.3964,0.7638,0.4366,1.1884,0.7002,1.1201,1.319,0.9167,2.5652,1.1099
IR,2023,Q3,0.6383,1.0619,0.4727,1.2716,1.1775,1.043,1.3116,1.1088,2.2067,1.0314
IR,2023,FY,0.2778,0.9027,0.3828,0.8038,1.2968,1.0,1.0,1.4366,2.6121,1.2441
IR,2024,Q1,0.6005,1.1659,0.5615,0.9172,1.2186,1.1097,1.0,1.0452,1.9762,1.0902
IR,2024,FY,0.4301,0.9885,0.4735,0.919,1.1483,1.1138,1.0,1.1616,2.3526,1.0881
IR,2025,Q1,0.315,0.966,0.3459,0.9429,1.025,1.0,1.0,1.0611,2.891,1.0606
IR,2025,Q2,0.686,0.888,0.6308,1.2246,1.1194,1.0392,1.3173,1.2606,1.6473,1.0757
IR,2025,Q3,0.4709,0.4012,0.9673,1.2134,0.3868,1.1438,1.2931,0.9639,1.1825,1.0657
IR,2025,FY,0.695,0.932,0.9369,0.7959,1.2932,1.0834,1.0,1.3875,1.1563,1.2565
IR,2026,Q1,0.9031,0.7736,0.9402,1.2416,1.106,1.1172,1.3059,1.4297,1.1883,1.0518
