ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
IT,2021,Q2,0.0393,0.1191,0.4271,0.7733,1.0,1.1356,0.9188,8.3952,2.659,1.1882
IT,2021,Q3,0.0232,0.1292,0.2222,0.8086,1.0,1.0,0.8988,7.7389,4.5013,1.1116
IT,2022,Q1,0.0313,0.0857,0.4352,0.8398,1.0,1.0,1.0,11.6625,2.2975,1.1907
IT,2022,FY,0.2773,0.9065,0.3665,0.8347,1.0,1.0696,1.0,1.1032,2.9185,1.198
IT,2023,Q1,0.5753,1.3423,0.4912,0.8725,1.1437,1.0,1.0,0.8521,2.0358,1.1461
IT,2023,Q2,0.1366,0.4736,0.3068,0.94,0.606,1.0,1.0,1.2796,3.2595,1.0638
IT,2023,Q3,0.2679,1.3933,0.2173,0.885,1.2606,1.0,0.9497,0.9047,4.6026,1.0731
IT,2023,FY,0.2019,0.9396,0.2475,0.8684,1.1548,1.0,1.0,1.229,4.0407,1.1516
IT,2024,Q1,0.4296,0.9562,0.5165,0.87,1.1157,1.0,1.0,1.1668,1.9363,1.1495
IT,2024,Q2,0.5557,1.5724,0.4107,0.8605,1.1588,1.0,0.9648,0.7369,2.4348,1.1212
IT,2024,Q3,0.5027,1.1341,0.4966,0.8927,1.0536,1.0,1.0076,0.929,2.0138,1.1287
IT,2024,FY,0.2545,0.8753,0.3222,0.9026,1.1567,1.0,1.0,1.3216,3.1036,1.1079
IT,2025,Q1,0.3171,0.9467,0.3746,0.8941,1.0455,1.1668,1.0,1.1043,3.1144,1.1185
IT,2025,Q2,0.3199,0.794,0.4442,0.9071,1.0573,1.0,1.0341,1.3316,2.2513,1.14
IT,2025,Q3,0.2207,0.3625,0.7039,0.8651,0.3348,1.0238,0.9574,0.9236,1.4544,1.1066
IT,2025,FY,0.5776,0.7448,0.8865,0.8748,1.1865,1.1264,1.0,1.593,1.2707,1.1431
IT,2026,Q1,0.4755,0.6683,0.81,0.8783,1.0259,1.1725,0.9791,1.5351,1.4476,1.1148
