ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
JNJ,2021,Q3,1.2773,0.8573,1.7092,0.8717,1.0,2.6008,1.0,1.1664,1.5216,1.1472
JNJ,2022,Q1,0.128,0.3514,0.417,0.8734,1.0,1.3843,1.0,2.8459,3.3199,1.145
JNJ,2022,Q2,0.214,1.1484,0.2198,0.8479,1.0,1.0,1.0,0.8708,4.5502,1.1794
JNJ,2022,Q3,0.6567,2.1564,0.3337,0.9125,3.2716,1.0562,1.0,1.5172,3.1645,1.0959
JNJ,2022,FY,0.2405,0.4719,0.5453,0.9345,1.0,1.2168,1.0,2.1191,2.2315,1.0701
JNJ,2023,Q1,0.2509,0.6892,0.4369,0.8335,1.0495,1.0,1.0,1.5229,2.2891,1.1997
JNJ,2023,FY,0.0511,0.19,0.293,0.9184,0.253,1.0,1.0,1.3314,3.413,1.0888
JNJ,2024,Q2,0.6707,0.8877,0.8089,0.9341,0.9231,1.3141,1.0,1.0398,1.6246,1.0706
JNJ,2024,Q3,0.1892,0.4466,0.4714,0.8985,0.3096,1.0,1.0,0.6932,2.1212,1.113
JNJ,2024,FY,1.0648,3.4456,0.3743,0.8256,4.251,1.0,1.0,1.2338,2.6715,1.2113
JNJ,2025,Q1,0.4127,0.7006,0.6101,0.9655,0.9128,1.1796,1.0,1.3029,1.9334,1.0358
JNJ,2025,Q2,0.6684,0.927,0.7648,0.9428,1.0431,1.0,1.0,1.1253,1.3075,1.0607
JNJ,2025,Q3,0.5115,0.5545,0.9614,0.9596,1.1237,1.2734,1.0239,2.0268,1.3245,1.067
JNJ,2025,FY,0.6597,0.8367,1.3167,0.5988,1.0605,1.3978,1.0,1.2674,1.0615,1.67
JNJ,2026,Q1,0.9103,0.8211,1.1733,0.9448,1.1253,1.2781,1.0083,1.3704,1.0893,1.0672
JNJ,2026,Q2,2.5485,2.1995,1.1262,1.0288,2.1995,1.1262,1.0288,1.0,1.0,1.0
