ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
KBR,2020,Q2,0.609,1.0,0.6433,0.9467,1.0,1.0,1.0826,1.0,1.5545,1.1436
KBR,2020,Q3,0.2374,1.0,0.2316,1.0248,1.0,1.0,1.1548,1.0,4.3174,1.1269
KBR,2020,FY,0.5001,1.0,0.5733,0.8723,1.0,0.9877,1.0,1.0,1.7229,1.1464
KBR,2021,Q3,0.0524,0.2355,0.2424,0.9181,0.4285,0.9772,1.0611,1.8193,4.0308,1.1558
KBR,2022,Q1,0.3038,0.5732,0.5766,0.9193,1.0,1.0354,1.0,1.7445,1.7957,1.0878
KBR,2022,Q2,0.3582,0.8521,0.4246,0.99,1.1668,1.0618,1.0805,1.3694,2.5004,1.0914
KBR,2022,Q3,0.9243,2.8674,0.3384,0.9527,2.6891,1.0,1.0736,0.9378,2.9554,1.1269
KBR,2023,Q1,0.2648,0.9028,0.3139,0.9342,1.1656,1.0532,0.9972,1.2911,3.3549,1.0674
KBR,2023,Q2,0.757,2.3329,0.3539,0.917,2.1386,0.9078,1.0177,0.9167,2.5652,1.1099
KBR,2023,FY,0.2726,0.8858,0.3828,0.8038,1.2726,1.0,1.0,1.4366,2.6121,1.2441
KBR,2024,Q2,0.3995,0.8324,0.4857,0.9881,1.0628,1.0,1.0335,1.2768,2.059,1.046
KBR,2024,Q3,0.1061,0.2725,0.4087,0.9525,0.3571,0.8609,1.0,1.3106,2.1063,1.0499
KBR,2024,FY,0.3099,0.77,0.4379,0.919,0.8944,1.0301,1.0,1.1616,2.3526,1.0881
KBR,2025,Q1,0.346,1.006,0.3648,0.9429,1.0675,1.0545,1.0,1.0611,2.891,1.0606
KBR,2025,Q2,0.2716,0.4216,0.6661,0.9673,0.5314,1.0972,1.0405,1.2606,1.6473,1.0757
KBR,2025,Q3,1.1255,1.1318,1.0037,0.9908,1.091,1.1868,1.0559,0.9639,1.1825,1.0657
KBR,2025,FY,0.6205,0.8549,0.912,0.7959,1.1862,1.0546,1.0,1.3875,1.1563,1.2565
KBR,2026,Q1,0.6557,0.7398,0.8882,0.9979,1.0578,1.0554,1.0496,1.4297,1.1883,1.0518
