ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
KEYS,2020,Q3,0.8986,1.0,0.7171,1.2531,1.0,1.6822,1.4955,1.0,2.3458,1.1935
KEYS,2022,Q1,0.0454,0.0857,0.4352,1.2152,1.0,1.0,1.447,11.6625,2.2975,1.1907
KEYS,2022,Q2,0.0589,0.4108,0.15,0.9561,1.0,1.0,1.0,2.4341,6.6682,1.046
KEYS,2022,Q3,0.2145,0.8657,0.2589,0.9567,1.2324,1.0,1.0,1.4236,3.8621,1.0452
KEYS,2022,FY,0.2593,0.9065,0.3426,0.8347,1.0,1.0,1.0,1.1032,2.9185,1.198
KEYS,2023,Q2,0.3892,0.9019,0.3068,1.4066,1.1541,1.0,1.4963,1.2796,3.2595,1.0638
KEYS,2023,Q3,0.3276,1.2206,0.288,0.9319,1.1043,1.3256,1.0,0.9047,4.6026,1.0731
KEYS,2024,Q1,0.5241,0.9469,0.6362,0.87,1.1048,1.2319,1.0,1.1668,1.9363,1.1495
KEYS,2024,Q2,0.2744,0.5955,0.4107,1.1219,0.4388,1.0,1.2578,0.7369,2.4348,1.1212
KEYS,2024,Q3,0.4756,1.0811,0.4966,0.886,1.0044,1.0,1.0,0.929,2.0138,1.1287
KEYS,2024,FY,0.3046,0.83,0.4065,0.9026,1.0969,1.2616,1.0,1.3216,3.1036,1.1079
KEYS,2025,Q1,0.2745,0.8255,0.3719,0.8941,0.9117,1.1582,1.0,1.1043,3.1144,1.1185
KEYS,2025,Q3,1.1737,1.0592,0.8007,1.3839,0.9783,1.1645,1.5315,0.9236,1.4544,1.1066
KEYS,2025,FY,0.5091,0.6225,0.9348,0.8748,0.9917,1.1878,1.0,1.593,1.2707,1.1431
KEYS,2026,Q1,0.8562,0.8279,0.838,1.2342,1.2708,1.213,1.3758,1.5351,1.4476,1.1148
KEYS,2026,Q2,1.3093,1.3176,0.886,1.1215,1.412,1.2551,1.2393,1.0717,1.4166,1.105
