ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
KKR,2020,Q2,0.5305,1.0,0.5606,0.9463,1.0,1.0,1.0,1.0,1.7837,1.0568
KKR,2020,Q3,0.501,1.0,0.5306,0.9442,1.0,1.0,1.0,1.0,1.8848,1.0591
KKR,2021,Q3,2.1806,7.1674,0.3121,0.9749,7.9585,1.0,1.0,1.1104,3.2045,1.0257
KKR,2021,FY,0.1893,1.1621,0.1667,0.9773,1.0,1.0,1.0,0.8605,5.9982,1.0233
KKR,2022,Q1,0.0521,0.1566,0.34,0.9794,1.0,1.0,1.0,6.3858,2.9415,1.0211
KKR,2022,Q2,2.4491,7.9777,0.325,0.9446,7.9705,1.0,1.0,0.9991,3.0769,1.0587
KKR,2022,FY,0.0551,0.1369,0.3982,1.0113,0.3524,1.0,1.0,2.5745,2.5116,0.9889
KKR,2023,Q1,2.803,4.4046,0.6475,0.9828,3.115,1.122,1.0,0.7072,1.7328,1.0175
KKR,2023,Q2,1.5749,2.8166,0.5923,0.9441,2.1536,1.0,1.0,0.7646,1.6885,1.0592
KKR,2023,Q3,0.188,0.5328,0.3745,0.9422,0.4141,1.0,1.0,0.7771,2.6701,1.0613
KKR,2024,Q2,0.2729,0.3977,0.7178,0.9558,0.6177,1.4785,1.0,1.5531,2.0597,1.0463
KKR,2024,Q3,3.3104,7.435,0.4651,0.9574,5.4241,1.0,1.0,0.7295,2.1503,1.0445
KKR,2025,Q1,1.6376,3.1437,0.5804,0.8976,3.0877,1.076,1.0,0.9822,1.854,1.1141
KKR,2025,Q2,0.7402,1.0405,0.7524,0.9455,1.2198,1.068,1.0,1.1723,1.4196,1.0577
KKR,2025,Q3,0.2806,0.3138,0.9258,0.966,0.5488,1.2847,1.0,1.7491,1.3877,1.0352
KKR,2025,FY,2.3752,2.1157,1.1395,0.9852,3.4021,1.4614,1.0,1.608,1.2825,1.015
KKR,2026,Q1,0.2604,0.3089,0.8648,0.9746,0.4471,1.0687,1.0,1.4474,1.2358,1.0261
