ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
KMI,2020,Q3,0.2897,1.0,0.3735,0.7757,1.0,1.0,0.8484,1.0,2.6775,1.0937
KMI,2020,FY,0.2014,1.0,0.2014,1.0,1.0,1.0119,1.0,1.0,5.024,1.0
KMI,2021,Q1,0.0031,0.0442,0.0811,0.8721,1.0,1.0,0.9316,22.6014,12.3247,1.0682
KMI,2022,Q1,0.0685,0.143,0.6666,0.719,0.8238,1.0,0.7776,5.7608,1.5001,1.0816
KMI,2022,Q2,0.1326,0.4798,0.3603,0.7672,1.0,1.0,0.8059,2.0842,2.7758,1.0504
KMI,2022,Q3,0.1902,0.2784,0.7282,0.938,0.5199,1.0,1.0,1.8677,1.3732,1.0661
KMI,2022,FY,1.184,3.6739,0.3173,1.0157,1.9016,1.0,1.0,0.5176,3.1519,0.9845
KMI,2023,Q2,0.4685,1.1682,0.5483,0.7314,1.2706,1.0,0.7857,1.0877,1.8239,1.0743
KMI,2023,Q3,0.3706,0.8925,0.6036,0.688,0.9249,1.0,0.7301,1.0363,1.6567,1.0613
KMI,2024,Q1,0.3387,0.5277,0.6915,0.9282,0.8025,1.2455,1.0,1.5206,1.8011,1.0774
KMI,2024,FY,0.2767,0.5998,0.4665,0.9886,0.7022,1.2527,1.0,1.1708,2.6851,1.0115
KMI,2025,Q1,0.4026,1.2081,0.451,0.7388,1.2311,1.2035,0.7642,1.019,2.6682,1.0344
KMI,2025,Q2,0.3263,0.3255,1.0379,0.966,0.4909,1.2306,1.0,1.5082,1.1857,1.0352
KMI,2025,Q3,1.8792,2.0255,1.1342,0.818,3.164,1.2256,0.8576,1.5621,1.0806,1.0484
KMI,2025,FY,0.8616,1.2029,1.1099,0.6453,1.2562,1.2202,1.0,1.0443,1.0993,1.5496
KMI,2026,Q1,0.887,0.9948,1.161,0.768,1.1384,1.2616,0.8054,1.1444,1.0867,1.0486
KMI,2026,Q2,2.2829,2.6608,1.1129,0.771,2.6608,1.1129,0.771,1.0,1.0,1.0
