ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
KMPR,2020,Q3,0.501,1.0,0.5306,0.9442,1.0,1.0,1.0,1.0,1.8848,1.0591
KMPR,2020,FY,0.1078,1.0,0.1563,0.6898,1.0,1.0753,1.0,1.0,6.8813,1.4498
KMPR,2021,Q2,0.0969,0.4728,0.2166,0.9463,1.0,1.0,1.0,2.1151,4.6159,1.0567
KMPR,2022,Q1,0.0574,0.1566,0.374,0.9794,1.0,1.1003,1.0,6.3858,2.9415,1.0211
KMPR,2022,Q2,0.1808,0.6135,0.312,0.9446,0.6129,0.9601,1.0,0.9991,3.0769,1.0587
KMPR,2022,Q3,0.2885,0.5619,0.5273,0.9736,1.1315,0.9828,1.0,2.0136,1.864,1.0271
KMPR,2022,FY,0.6265,1.556,0.3982,1.0113,4.006,1.0,1.0,2.5745,2.5116,0.9889
KMPR,2023,Q1,0.7646,1.4329,0.5429,0.9828,1.0134,0.9407,1.0,0.7072,1.7328,1.0175
KMPR,2023,Q2,0.6543,1.2298,0.5636,0.9441,0.9403,0.9515,1.0,0.7646,1.6885,1.0592
KMPR,2023,Q3,0.0994,0.3577,0.2949,0.9422,0.278,0.7875,1.0,0.7771,2.6701,1.0613
KMPR,2023,FY,0.3305,1.0936,0.3187,0.9483,1.0254,1.0,1.0,0.9376,3.1376,1.0545
KMPR,2024,Q1,0.2561,0.5843,0.4747,0.9233,0.945,0.9417,1.0,1.6173,1.9839,1.0831
KMPR,2024,Q2,0.2381,0.5132,0.4855,0.9558,0.797,1.0,1.0,1.5531,2.0597,1.0463
KMPR,2025,Q1,0.4636,0.8988,0.5747,0.8976,0.8828,1.0654,1.0,0.9822,1.854,1.1141
KMPR,2025,Q2,0.6551,0.9253,0.7488,0.9455,1.0847,1.063,1.0,1.1723,1.4196,1.0577
KMPR,2025,Q3,0.4035,0.5909,0.7068,0.966,1.0336,0.9809,1.0,1.7491,1.3877,1.0352
KMPR,2025,FY,0.4115,0.5209,0.8019,0.9852,0.8376,1.0285,1.0,1.608,1.2825,1.015
KMPR,2026,Q1,0.5257,0.6693,0.806,0.9746,0.9687,0.996,1.0,1.4474,1.2358,1.0261
