ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
KMX,2021,Q3,0.2073,0.3142,0.5406,1.2206,1.0,1.0,1.3749,3.1823,1.8499,1.1264
KMX,2022,Q2,0.2375,0.7207,0.3491,0.9441,1.0,1.0363,1.0,1.3876,2.9682,1.0593
KMX,2022,Q3,0.3464,0.5678,0.4536,1.3446,0.6186,1.0,1.4253,1.0894,2.2043,1.06
KMX,2022,FY,0.1168,0.4029,0.3052,0.95,1.0,1.0,1.0,2.4817,3.2761,1.0527
KMX,2023,Q1,0.3659,0.7153,0.5586,0.9157,1.0,1.0,1.0,1.3979,1.7903,1.0921
KMX,2023,Q2,0.5155,0.8573,0.4624,1.3005,0.947,1.0157,1.4017,1.1046,2.1967,1.0779
KMX,2023,Q3,0.7164,1.9869,0.2772,1.3007,2.8099,1.0,1.3703,1.4143,3.6073,1.0535
KMX,2024,Q1,0.7476,1.091,0.5359,1.2787,0.9986,1.0,1.3639,0.9153,1.866,1.0667
KMX,2024,FY,0.2188,0.6442,0.3584,0.9479,0.8318,1.0,1.0,1.2912,2.7904,1.055
KMX,2025,Q2,1.2845,1.517,0.6864,1.2336,1.7345,1.0095,1.3111,1.1433,1.4707,1.0629
KMX,2025,Q3,0.2833,0.3378,0.8901,0.9424,0.2566,1.0135,1.0,0.7596,1.1386,1.0612
KMX,2025,FY,0.5842,0.7686,0.8732,0.8705,0.9931,1.0,1.0,1.2922,1.1452,1.1488
KMX,2026,Q1,0.7831,0.7139,0.8709,1.2595,0.9817,1.0,1.3378,1.3751,1.1482,1.0622
KMX,2026,Q2,1.3515,1.001,1.0,1.3501,1.001,1.0,1.3501,1.0,1.0,1.0
KMX,2026,Q3,1.1988,0.9423,1.0109,1.2585,0.9423,1.0109,1.2585,1.0,1.0,1.0
KMX,2026,FY,0.9916,0.9821,1.0096,1.0,0.9821,1.0096,1.0,1.0,1.0,1.0
KMX,2027,Q1,1.5146,1.0619,1.0237,1.3933,1.0619,1.0237,1.3933,1.0,1.0,1.0
