ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
LEA,2020,Q3,0.288,1.0,0.2861,1.0066,1.0,1.0,1.0929,1.0,3.4952,1.0858
LEA,2021,Q2,0.1697,0.4801,0.383,0.923,1.0,1.0,1.0,2.0828,2.6109,1.0835
LEA,2022,Q1,0.1201,0.3983,0.3311,0.911,1.0,1.044,1.0,2.5105,3.1531,1.0978
LEA,2022,Q2,0.4464,1.4035,0.3369,0.9441,1.9475,1.0,1.0,1.3876,2.9682,1.0593
LEA,2022,Q3,0.3415,0.7996,0.4527,0.9434,0.871,0.998,1.0,1.0894,2.2043,1.06
LEA,2022,FY,0.1168,0.4029,0.3052,0.95,1.0,1.0,1.0,2.4817,3.2761,1.0527
LEA,2023,Q1,0.3559,0.6958,0.5586,0.9157,0.9727,1.0,1.0,1.3979,1.7903,1.0921
LEA,2023,Q2,0.4128,0.9643,0.4615,0.9278,1.0652,1.0137,1.0,1.1046,2.1967,1.0779
LEA,2023,Q3,0.3056,0.9577,0.3036,1.0509,1.3544,1.0952,1.1072,1.4143,3.6073,1.0535
LEA,2023,FY,0.2357,0.8907,0.2789,0.9488,1.1301,1.0,1.0,1.2688,3.5858,1.054
LEA,2024,Q1,0.616,1.2261,0.5359,0.9375,1.1223,1.0,1.0,0.9153,1.866,1.0667
LEA,2024,Q2,0.5227,1.1901,0.4793,0.9165,1.183,1.0621,1.0,0.9941,2.216,1.0911
LEA,2024,FY,0.291,0.8399,0.3655,0.9479,1.0845,1.02,1.0,1.2912,2.7904,1.055
LEA,2025,Q1,0.4735,0.9296,0.566,0.8998,1.0255,1.0,1.0,1.1031,1.7668,1.1113
LEA,2025,Q2,0.6378,0.8792,0.6991,1.0377,1.0052,1.0282,1.103,1.1433,1.4707,1.0629
LEA,2025,Q3,1.2618,1.2934,0.9367,1.0415,0.9825,1.0665,1.1053,0.7596,1.1386,1.0612
LEA,2025,FY,0.6675,0.8616,0.8899,0.8705,1.1133,1.0191,1.0,1.2922,1.1452,1.1488
LEA,2026,Q1,0.6584,0.7064,0.9008,1.0348,0.9713,1.0342,1.0991,1.3751,1.1482,1.0622
