ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
LKQ,2020,Q2,0.4705,1.0,0.4074,1.1547,1.0,1.0,1.2819,1.0,2.4544,1.1102
LKQ,2020,Q3,0.3579,1.0,0.302,1.1849,1.0,1.0557,1.2866,1.0,3.4952,1.0858
LKQ,2021,Q2,0.152,0.2931,0.4593,1.1289,0.6104,1.1992,1.2231,2.0828,2.6109,1.0835
LKQ,2021,Q3,0.2169,0.3587,0.5565,1.0867,1.1415,1.0295,1.2241,3.1823,1.8499,1.1264
LKQ,2022,Q1,0.1151,0.3983,0.3171,0.911,1.0,1.0,1.0,2.5105,3.1531,1.0978
LKQ,2022,Q2,0.5371,1.4033,0.3369,1.1361,1.9472,1.0,1.2034,1.3876,2.9682,1.0593
LKQ,2022,FY,0.1236,0.4029,0.323,0.95,1.0,1.0582,1.0,2.4817,3.2761,1.0527
LKQ,2023,Q1,0.4206,0.7553,0.6082,0.9157,1.0558,1.0888,1.0,1.3979,1.7903,1.0921
LKQ,2023,Q3,0.0637,0.2216,0.3028,0.9492,0.3135,1.0922,1.0,1.4143,3.6073,1.0535
LKQ,2023,FY,0.2667,0.9397,0.2991,0.9488,1.1924,1.0726,1.0,1.2688,3.5858,1.054
LKQ,2024,Q1,0.549,1.0928,0.5359,0.9375,1.0003,1.0,1.0,0.9153,1.866,1.0667
LKQ,2024,Q2,0.2145,0.5186,0.4513,0.9165,0.5155,1.0,1.0,0.9941,2.216,1.0911
LKQ,2024,Q3,0.2274,0.9628,0.2508,0.9418,1.1495,1.0,1.0,1.1939,3.9871,1.0618
LKQ,2025,Q1,0.5487,0.9374,0.566,1.0343,1.034,1.0,1.1494,1.1031,1.7668,1.1113
LKQ,2025,Q2,0.7612,0.9238,0.718,1.1475,1.0563,1.056,1.2197,1.1433,1.4707,1.0629
LKQ,2025,Q3,1.4775,1.291,1.0393,1.1012,0.9807,1.1833,1.1686,0.7596,1.1386,1.0612
LKQ,2025,FY,0.6061,0.7619,0.9139,0.8705,0.9845,1.0466,1.0,1.2922,1.1452,1.1488
LKQ,2026,Q1,0.7064,0.7285,0.8912,1.088,1.0017,1.0233,1.1557,1.3751,1.1482,1.0622
