ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
LNG,2020,Q2,1.2828,1.0,1.0676,1.2016,1.0,1.0417,1.3775,1.0,0.9758,1.1464
LNG,2020,Q3,0.4299,1.0,0.38,1.1313,1.0,1.0175,1.2374,1.0,2.6775,1.0937
LNG,2021,Q1,0.0035,0.0442,0.0811,0.9762,1.0,1.0,1.0428,22.6014,12.3247,1.0682
LNG,2021,Q2,0.1309,0.3696,0.384,0.9222,0.6136,1.0,1.013,1.66,2.6044,1.0985
LNG,2021,Q3,0.0555,0.4097,0.1594,0.8496,0.672,1.0,0.9507,1.6401,6.2719,1.119
LNG,2021,FY,0.2981,0.8019,0.3717,1.0,1.0,1.0,1.0,1.247,2.6902,1.0
LNG,2022,Q1,0.2783,0.4204,0.6666,0.993,2.422,1.0,1.074,5.7608,1.5001,1.0816
LNG,2022,FY,0.3673,1.1397,0.3173,1.0157,0.5899,1.0,1.0,0.5176,3.1519,0.9845
LNG,2023,Q1,0.1366,1.2099,0.1093,1.0331,0.9768,1.0,1.1271,0.8073,9.1519,1.0909
LNG,2023,Q2,2.4092,4.7205,0.5483,0.9309,5.1346,1.0,1.0,1.0877,1.8239,1.0743
LNG,2023,Q3,2.8296,5.5154,0.5445,0.9422,5.7157,0.902,1.0,1.0363,1.6567,1.0613
LNG,2023,FY,0.0464,0.5865,0.0865,0.9154,2.1793,1.0,1.0,3.7159,11.5671,1.0924
LNG,2024,Q2,0.2045,0.4141,0.549,0.8996,0.2612,1.0,1.0,0.6309,1.8216,1.1115
LNG,2024,Q3,0.259,0.2711,1.019,0.9375,0.1659,1.7279,1.0,0.6118,1.6956,1.0666
LNG,2024,FY,0.5155,1.4,0.3724,0.9886,1.6391,1.0,1.0,1.1708,2.6851,1.0115
LNG,2025,Q1,0.2725,0.7101,0.3748,1.0239,0.7235,1.0,1.0591,1.019,2.6682,1.0344
LNG,2025,Q2,1.5579,1.6049,1.0113,0.9599,2.4206,1.199,0.9937,1.5082,1.1857,1.0352
LNG,2025,Q3,2.1835,2.3029,1.0161,0.9332,3.5973,1.098,0.9783,1.5621,1.0806,1.0484
LNG,2025,FY,0.5091,0.5722,1.3785,0.6453,0.5976,1.5154,1.0,1.0443,1.0993,1.5496
LNG,2026,Q1,0.4466,0.9695,0.5819,0.7916,1.1095,0.6323,0.8301,1.1444,1.0867,1.0486
