ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
LPLA,2020,Q2,0.5732,1.0,0.6057,0.9463,1.0,1.0804,1.0,1.0,1.7837,1.0568
LPLA,2020,Q3,0.547,1.0,0.5793,0.9442,1.0,1.0919,1.0,1.0,1.8848,1.0591
LPLA,2022,Q1,0.0564,0.1566,0.3679,0.9794,1.0,1.0821,1.0,6.3858,2.9415,1.0211
LPLA,2022,Q2,0.4554,1.3902,0.3468,0.9446,1.389,1.0669,1.0,0.9991,3.0769,1.0587
LPLA,2022,Q3,0.3629,0.6513,0.5722,0.9736,1.3115,1.0667,1.0,2.0136,1.864,1.0271
LPLA,2022,FY,0.1701,0.3884,0.433,1.0113,1.0,1.0875,1.0,2.5745,2.5116,0.9889
LPLA,2023,Q1,1.3207,2.0021,0.6712,0.9828,1.4159,1.163,1.0,0.7072,1.7328,1.0175
LPLA,2023,Q2,0.8526,1.4047,0.6429,0.9441,1.0741,1.0855,1.0,0.7646,1.6885,1.0592
LPLA,2023,Q3,0.1956,0.4947,0.4196,0.9422,0.3844,1.1203,1.0,0.7771,2.6701,1.0613
LPLA,2023,FY,0.5237,1.5622,0.3535,0.9483,1.4648,1.1091,1.0,0.9376,3.1376,1.0545
LPLA,2024,Q2,0.4686,0.9259,0.5295,0.9558,1.4379,1.0907,1.0,1.5531,2.0597,1.0463
LPLA,2024,Q3,2.3609,4.6951,0.5252,0.9574,3.4253,1.1294,1.0,0.7295,2.1503,1.0445
LPLA,2025,Q1,0.643,1.1928,0.6006,0.8976,1.1715,1.1135,1.0,0.9822,1.854,1.1141
LPLA,2025,Q2,0.8002,1.1159,0.7585,0.9455,1.3081,1.0767,1.0,1.1723,1.4196,1.0577
LPLA,2025,Q3,0.243,0.3513,0.716,0.966,0.6144,0.9936,1.0,1.7491,1.3877,1.0352
LPLA,2025,FY,0.9942,1.2284,0.8215,0.9852,1.9753,1.0535,1.0,1.608,1.2825,1.015
LPLA,2026,Q1,1.0238,1.2045,0.8721,0.9746,1.7434,1.0778,1.0,1.4474,1.2358,1.0261
