ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
LUV,2020,Q3,0.2002,1.0,0.1771,1.1305,1.0,0.7646,1.2739,1.0,4.3174,1.1269
LUV,2021,Q3,0.2281,0.8391,0.2481,1.0957,1.5265,1.0,1.2664,1.8193,4.0308,1.1558
LUV,2021,FY,0.2151,1.0634,0.2188,0.9244,1.0,1.0,1.0,0.9404,4.5697,1.0818
LUV,2022,Q1,0.3615,0.5732,0.5569,1.1324,1.0,1.0,1.2319,1.7445,1.7957,1.0878
LUV,2022,Q2,0.293,0.7303,0.438,0.9162,1.0,1.0951,1.0,1.3694,2.5004,1.0914
LUV,2022,FY,0.1332,0.3368,0.4395,0.8997,0.573,1.0,1.0,1.7015,2.2753,1.1114
LUV,2023,Q2,0.7247,1.9152,0.3898,0.9706,1.7557,1.0,1.0772,0.9167,2.5652,1.1099
LUV,2023,Q3,0.2402,0.5223,0.4743,0.9695,0.5792,1.0466,1.0,1.1088,2.2067,1.0314
LUV,2023,FY,0.6289,2.0073,0.3898,0.8038,2.8836,1.0181,1.0,1.4366,2.6121,1.2441
LUV,2024,Q1,0.5252,1.163,0.4923,0.9172,1.2156,0.9729,1.0,1.0452,1.9762,1.0902
LUV,2024,Q2,0.6836,1.5229,0.4857,0.9242,1.9444,1.0,0.9667,1.2768,2.059,1.046
LUV,2024,Q3,1.0981,2.5213,0.4763,0.9143,3.3043,1.0033,0.9599,1.3106,2.1063,1.0499
LUV,2024,FY,0.307,0.7857,0.4251,0.919,0.9127,1.0,1.0,1.1616,2.3526,1.0881
LUV,2025,Q1,0.3289,1.0453,0.3337,0.9429,1.1092,0.9648,1.0,1.0611,2.891,1.0606
LUV,2025,Q3,0.6532,1.0409,0.8479,0.7401,1.0033,1.0026,0.7888,0.9639,1.1825,1.0657
LUV,2025,FY,0.5939,0.8493,0.8786,0.7959,1.1784,1.016,1.0,1.3875,1.1563,1.2565
LUV,2026,Q1,0.5174,0.8011,0.8688,0.7434,1.1454,1.0323,0.782,1.4297,1.1883,1.0518
LUV,2026,Q2,0.9163,1.1461,1.0151,0.7876,1.1461,1.0151,0.7876,1.0,1.0,1.0
