ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
MAT,2020,FY,0.2565,1.0,0.3159,0.8118,1.0,1.0,1.0,1.0,3.1652,1.2318
MAT,2021,Q1,0.0008,0.008,0.1089,0.9385,1.0,1.0,1.0,124.4843,9.1836,1.0655
MAT,2021,Q2,0.1697,0.4801,0.383,0.923,1.0,1.0,1.0,2.0828,2.6109,1.0835
MAT,2021,Q3,0.1508,0.3142,0.5406,0.8878,1.0,1.0,1.0,3.1823,1.8499,1.1264
MAT,2022,Q2,0.4005,1.0103,0.3369,1.1768,1.4019,1.0,1.2465,1.3876,2.9682,1.0593
MAT,2022,Q3,0.2328,0.544,0.4536,0.9434,0.5926,1.0,1.0,1.0894,2.2043,1.06
MAT,2023,Q1,0.3409,0.6666,0.5586,0.9157,0.9318,1.0,1.0,1.3979,1.7903,1.0921
MAT,2023,Q2,0.7084,1.6774,0.4552,0.9278,1.8529,1.0,1.0,1.1046,2.1967,1.0779
MAT,2023,FY,0.2975,0.9384,0.3342,0.9488,1.1907,1.1983,1.0,1.2688,3.5858,1.054
MAT,2024,Q1,0.5455,1.0857,0.5359,0.9375,0.9938,1.0,1.0,0.9153,1.866,1.0667
MAT,2024,Q2,0.4261,0.9994,0.4653,0.9165,0.9934,1.031,1.0,0.9941,2.216,1.0911
MAT,2024,Q3,0.4207,1.7809,0.2508,0.9418,2.1262,1.0,1.0,1.1939,3.9871,1.0618
MAT,2024,FY,0.262,0.7712,0.3584,0.9479,0.9958,1.0,1.0,1.2912,2.7904,1.055
MAT,2025,Q2,0.3544,0.4715,0.6799,1.1054,0.5391,1.0,1.1749,1.1433,1.4707,1.0629
MAT,2025,Q3,0.7055,0.6122,1.046,1.1017,0.465,1.191,1.1691,0.7596,1.1386,1.0612
MAT,2025,FY,0.6253,0.7615,0.9434,0.8705,0.984,1.0803,1.0,1.2922,1.1452,1.1488
MAT,2026,Q1,0.8694,0.7745,0.9373,1.1976,1.0651,1.0762,1.2721,1.3751,1.1482,1.0622
