ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
MDLZ,2020,Q3,0.4806,1.0,0.5428,0.8853,1.0,1.2024,0.9064,1.0,2.215,1.0239
MDLZ,2020,FY,0.5308,1.0,0.6386,0.8312,1.0,1.0,1.0,1.0,1.5659,1.2031
MDLZ,2021,Q2,0.087,0.1624,0.6673,0.8024,1.0,1.1937,0.8501,6.1575,1.7889,1.0595
MDLZ,2022,Q1,0.0958,0.4141,0.2328,0.9943,1.0,1.1531,1.0,2.4151,4.9534,1.0057
MDLZ,2022,Q3,0.3343,0.6292,0.5279,1.0064,1.0776,1.0,1.0,1.7126,1.8942,0.9937
MDLZ,2022,FY,1.6341,3.0168,0.6194,0.8745,4.3157,1.0944,1.0,1.4306,1.767,1.1435
MDLZ,2023,Q1,0.7005,1.2413,0.5766,0.9786,1.0727,1.1238,1.0,0.8641,1.9488,1.0219
MDLZ,2023,Q2,0.2577,1.1678,0.237,0.9314,1.2808,1.0,0.8643,1.0968,4.2197,0.928
MDLZ,2023,Q3,1.3918,1.8056,0.7478,1.0308,3.1747,1.0239,1.0,1.7583,1.3693,0.9701
MDLZ,2023,FY,0.5788,0.9223,0.7149,0.8779,0.9119,1.1768,1.0,0.9887,1.646,1.1391
MDLZ,2024,Q1,0.346,1.2346,0.2871,0.976,1.1965,1.1792,0.9158,0.9692,4.1074,0.9383
MDLZ,2024,Q3,0.1624,0.6687,0.248,0.9793,0.396,1.1229,1.0,0.5922,4.5286,1.0211
MDLZ,2024,FY,0.897,1.1473,0.7881,0.9921,1.2688,1.1453,1.0,1.106,1.4533,1.008
MDLZ,2025,Q2,0.3199,0.5249,0.7089,0.8596,1.0561,1.1313,0.8623,2.0121,1.5959,1.0031
MDLZ,2025,Q3,0.8351,1.2593,0.7885,0.841,1.0792,1.0829,0.8486,0.8569,1.3734,1.009
MDLZ,2025,FY,0.7563,0.7312,0.9484,1.0906,1.0575,1.0684,1.0,1.4463,1.1265,0.917
MDLZ,2026,Q1,0.5304,0.9478,0.6884,0.8129,1.085,1.0593,0.8155,1.1448,1.5388,1.0032
