ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
MET,2020,Q3,0.501,1.0,0.5306,0.9442,1.0,1.0,1.0,1.0,1.8848,1.0591
MET,2020,FY,0.1011,1.0,0.1465,0.6898,1.0,1.0082,1.0,1.0,6.8813,1.4498
MET,2021,Q2,0.0969,0.4728,0.2166,0.9463,1.0,1.0,1.0,2.1151,4.6159,1.0567
MET,2021,FY,0.0202,0.1241,0.1667,0.9773,0.1068,1.0,1.0,0.8605,5.9982,1.0233
MET,2022,Q1,0.0521,0.1566,0.34,0.9794,1.0,1.0,1.0,6.3858,2.9415,1.0211
MET,2022,Q2,0.0224,0.073,0.325,0.9446,0.073,1.0,1.0,0.9991,3.0769,1.0587
MET,2022,Q3,42.3075,80.3937,0.5405,0.9736,161.8792,1.0075,1.0,2.0136,1.864,1.0271
MET,2023,Q3,0.1345,0.381,0.3745,0.9422,0.2961,1.0,1.0,0.7771,2.6701,1.0613
MET,2023,FY,10.3988,34.4043,0.3187,0.9483,32.2589,1.0,1.0,0.9376,3.1376,1.0545
MET,2024,Q1,8.4011,18.0518,0.504,0.9233,29.1945,1.0,1.0,1.6173,1.9839,1.0831
MET,2024,Q2,9.2951,20.0307,0.4855,0.9558,31.1088,1.0,1.0,1.5531,2.0597,1.0463
MET,2024,Q3,0.0213,0.0479,0.4651,0.9574,0.0349,1.0,1.0,0.7295,2.1503,1.0445
MET,2024,FY,0.0065,0.027,0.3393,0.7043,0.0315,1.0,1.0,1.1676,2.9473,1.4199
MET,2025,Q1,0.0188,0.0387,0.5394,0.8976,0.0381,1.0,1.0,0.9822,1.854,1.1141
MET,2025,Q2,0.0216,0.0324,0.7044,0.9455,0.038,1.0,1.0,1.1723,1.4196,1.0577
MET,2025,Q3,13.156,17.9167,0.7601,0.966,31.3375,1.0548,1.0,1.7491,1.3877,1.0352
MET,2025,FY,0.5515,0.718,0.7797,0.9852,1.1545,1.0,1.0,1.608,1.2825,1.015
MET,2026,Q1,18.1132,21.5685,0.8617,0.9746,31.2177,1.0649,1.0,1.4474,1.2358,1.0261
