ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
MLI,2020,Q3,0.2927,1.0,0.2316,1.2637,1.0,1.0,1.424,1.0,4.3174,1.1269
MLI,2020,FY,0.5141,1.0,0.5894,0.8723,1.0,1.0154,1.0,1.0,1.7229,1.1464
MLI,2021,Q2,0.0923,0.2709,0.2671,1.275,1.0,1.0,1.4399,3.6914,3.7439,1.1293
MLI,2021,Q3,0.8552,2.4975,0.2832,1.2094,4.5436,1.1414,1.3977,1.8193,4.0308,1.1558
MLI,2022,FY,0.1285,0.2344,0.4395,1.2473,0.3988,1.0,1.3863,1.7015,2.2753,1.1114
MLI,2023,Q1,0.2163,0.7745,0.2981,0.9368,1.0,1.0,1.0,1.2911,3.3549,1.0674
MLI,2023,FY,0.1959,0.5331,0.4573,0.8038,0.7658,1.1945,1.0,1.4366,2.6121,1.2441
MLI,2024,Q1,0.6806,0.8049,0.506,1.671,0.8412,1.0,1.8218,1.0452,1.9762,1.0902
MLI,2024,Q2,0.8261,1.445,0.598,0.956,1.8449,1.2313,1.0,1.2768,2.059,1.046
MLI,2024,Q3,0.3297,0.7291,0.4748,0.9525,0.9556,1.0,1.0,1.3106,2.1063,1.0499
MLI,2025,Q2,0.8677,0.908,0.6071,1.5742,1.1446,1.0,1.6934,1.2606,1.6473,1.0757
MLI,2025,Q3,1.2892,0.416,1.9545,1.5856,0.401,2.3112,1.6898,0.9639,1.1825,1.0657
MLI,2025,FY,3.4732,4.112,1.0613,0.7959,5.7055,1.2272,1.0,1.3875,1.1563,1.2565
MLI,2026,Q1,1.7188,0.9821,1.0524,1.663,1.4041,1.2505,1.7492,1.4297,1.1883,1.0518
MLI,2026,Q2,1.3635,0.6678,1.2125,1.684,0.6678,1.2125,1.684,1.0,1.0,1.0
