ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
MRVL,2022,Q2,0.0589,0.4108,0.15,0.9561,1.0,1.0,1.0,2.4341,6.6682,1.046
MRVL,2022,Q3,0.1689,0.7024,0.2513,0.9567,1.0,0.9704,1.0,1.4236,3.8621,1.0452
MRVL,2023,Q1,0.503,1.1736,0.4912,0.8725,1.0,1.0,1.0,0.8521,2.0358,1.1461
MRVL,2023,Q2,0.1706,0.5917,0.3068,0.94,0.7572,1.0,1.0,1.2796,3.2595,1.0638
MRVL,2023,Q3,0.8185,4.5962,0.1911,0.9319,4.1584,0.8795,1.0,0.9047,4.6026,1.0731
MRVL,2023,FY,0.1599,0.8137,0.2263,0.8684,1.0,0.9146,1.0,1.229,4.0407,1.1516
MRVL,2024,Q1,0.5504,1.361,0.4579,0.8832,1.588,0.8867,1.0152,1.1668,1.9363,1.1495
MRVL,2024,Q2,1.2986,3.7381,0.3895,0.8919,2.7547,0.9484,1.0,0.7369,2.4348,1.1212
MRVL,2024,Q3,0.2354,0.5305,0.5009,0.886,0.4928,1.0087,1.0,0.929,2.0138,1.1287
MRVL,2024,FY,0.3308,1.1373,0.3222,0.9026,1.503,1.0,1.0,1.3216,3.1036,1.1079
MRVL,2025,Q2,0.1324,0.3398,0.4442,0.8772,0.4524,1.0,1.0,1.3316,2.2513,1.14
MRVL,2025,Q3,0.5563,0.9991,0.6162,0.9036,0.9228,0.8962,1.0,0.9236,1.4544,1.1066
MRVL,2025,FY,0.5579,0.8328,0.7658,0.8748,1.3266,0.9731,1.0,1.593,1.2707,1.1431
MRVL,2026,Q1,0.3546,0.5722,0.6908,0.8971,0.8783,1.0,1.0,1.5351,1.4476,1.1148
MRVL,2026,Q2,1.1009,1.396,0.7059,1.1171,1.4961,1.0,1.2344,1.0717,1.4166,1.105
MRVL,2026,Q3,22.1204,1.4624,11.9775,1.2629,1.4624,11.9775,1.2629,1.0,1.0,1.0
MRVL,2026,FY,2.0534,1.3843,1.4833,1.0,1.3843,1.4833,1.0,1.0,1.0,1.0
MRVL,2027,Q1,3.1387,2.0827,1.0145,1.4855,2.0827,1.0145,1.4855,1.0,1.0,1.0
