ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
MTG,2020,Q3,110.5795,1.0,117.1154,0.9442,1.0,220.7338,1.0,1.0,1.8848,1.0591
MTG,2021,Q2,0.219,0.4728,0.4895,0.9463,1.0,2.2593,1.0,2.1151,4.6159,1.0567
MTG,2021,FY,0.1893,1.1621,0.1667,0.9773,1.0,1.0,1.0,0.8605,5.9982,1.0233
MTG,2022,Q1,0.105,0.1566,0.6847,0.9794,1.0,2.0141,1.0,6.3858,2.9415,1.0211
MTG,2022,Q2,0.6404,1.0141,0.6685,0.9446,1.0132,2.057,1.0,0.9991,3.0769,1.0587
MTG,2022,Q3,0.2566,0.4913,0.5365,0.9736,0.9892,1.0,1.0,2.0136,1.864,1.0271
MTG,2022,FY,0.1582,0.3928,0.3982,1.0113,1.0114,1.0,1.0,2.5745,2.5116,0.9889
MTG,2023,Q1,1.9534,1.3982,1.4215,0.9828,0.9888,2.4633,1.0,0.7072,1.7328,1.0175
MTG,2023,Q2,4.8107,1.2871,3.9591,0.9441,0.9841,6.6848,1.0,0.7646,1.6885,1.0592
MTG,2024,Q1,0.6086,0.596,1.106,0.9233,0.9638,2.1942,1.0,1.6173,1.9839,1.0831
MTG,2024,Q2,0.8646,0.6385,1.4166,0.9558,0.9917,2.9178,1.0,1.5531,2.0597,1.0463
MTG,2024,Q3,1.8158,4.0782,0.4651,0.9574,2.9752,1.0,1.0,0.7295,2.1503,1.0445
MTG,2024,FY,0.2002,0.8376,0.3393,0.7043,0.978,1.0,1.0,1.1676,2.9473,1.4199
MTG,2025,Q1,1.2506,1.0554,1.3202,0.8976,1.0366,2.4476,1.0,0.9822,1.854,1.1141
MTG,2025,Q2,1.6188,0.8929,1.9176,0.9455,1.0467,2.7222,1.0,1.1723,1.4196,1.0577
MTG,2025,Q3,0.3735,0.1998,1.9349,0.966,0.3495,2.685,1.0,1.7491,1.3877,1.0352
MTG,2025,FY,1.2623,0.6435,1.991,0.9852,1.0348,2.5535,1.0,1.608,1.2825,1.015
MTG,2026,Q1,1.2397,0.6973,1.8243,0.9746,1.0092,2.2544,1.0,1.4474,1.2358,1.0261
