ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
MU,2021,Q2,0.0554,0.1191,0.3761,1.2376,1.0,1.0,1.4706,8.3952,2.659,1.1882
MU,2021,Q3,0.0426,0.1292,0.2439,1.3525,1.0,1.098,1.5034,7.7389,4.5013,1.1116
MU,2021,FY,0.044,0.4578,0.1042,0.9227,1.0,1.2683,1.0,2.1843,12.1705,1.0837
MU,2022,Q1,0.0457,0.0857,0.4352,1.2246,1.0,1.0,1.4582,11.6625,2.2975,1.1907
MU,2022,FY,0.4011,1.0064,0.4775,0.8347,1.1102,1.3936,1.0,1.1032,2.9185,1.198
MU,2023,Q2,0.681,0.9757,0.7425,0.94,1.2486,2.4203,1.0,1.2796,3.2595,1.0638
MU,2023,Q3,0.143,0.4916,0.3121,0.9319,0.4448,1.4365,1.0,0.9047,4.6026,1.0731
MU,2024,Q1,0.3605,0.5269,0.5165,1.3249,0.6148,1.0,1.5229,1.1668,1.9363,1.1495
MU,2024,Q2,0.2358,0.6436,0.4107,0.8919,0.4743,1.0,1.0,0.7369,2.4348,1.1212
MU,2024,Q3,0.2056,0.4673,0.4966,0.886,0.4342,1.0,1.0,0.929,2.0138,1.1287
MU,2025,Q1,0.8512,1.6687,0.4089,1.2476,1.8428,1.2734,1.3954,1.1043,3.1144,1.1185
MU,2025,Q2,1.9436,3.4085,0.4442,1.2837,4.5389,1.0,1.4635,1.3316,2.2513,1.14
MU,2025,Q3,6.5505,7.5211,0.6876,1.2667,6.9464,1.0,1.4018,0.9236,1.4544,1.1066
MU,2025,FY,0.6807,0.7629,1.02,0.8748,1.2152,1.2961,1.0,1.593,1.2707,1.1431
MU,2026,Q1,1.386,1.0205,1.1216,1.2109,1.5665,1.6236,1.3499,1.5351,1.4476,1.1148
MU,2026,Q2,2.8647,1.3283,1.6718,1.2901,1.4235,2.3682,1.4255,1.0717,1.4166,1.105
MU,2026,Q3,7.5223,1.5906,3.1375,1.5073,1.5906,3.1375,1.5073,1.0,1.0,1.0
