ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
NTRA,2021,Q1,0.4399,1.0,0.3008,1.4624,1.0,1.0,1.6798,1.0,3.3243,1.1486
NTRA,2021,Q2,0.217,0.4868,0.3037,1.4675,1.0,0.6207,1.5518,2.0543,2.0437,1.0575
NTRA,2021,Q3,0.1917,0.8573,0.2565,0.8717,1.0,0.3903,1.0,1.1664,1.5216,1.1472
NTRA,2021,FY,0.1283,0.7017,0.19,0.962,1.0,0.6299,1.0,1.4251,3.3155,1.0395
NTRA,2022,Q2,0.2205,0.7733,0.2198,1.2975,0.6734,1.0,1.5302,0.8708,4.5502,1.1794
NTRA,2022,Q3,0.3062,1.0619,0.316,0.9125,1.6111,1.0,1.0,1.5172,3.1645,1.0959
NTRA,2023,Q1,0.1778,0.8369,0.2549,0.8335,1.2745,0.5835,1.0,1.5229,2.2891,1.1997
NTRA,2023,Q2,0.1793,0.7634,0.1676,1.4008,1.3189,0.5134,1.5671,1.7276,3.0625,1.1187
NTRA,2023,Q3,0.3762,1.3032,0.3153,0.9154,1.3322,1.0,1.0,1.0222,3.1712,1.0925
NTRA,2023,FY,0.3233,1.2015,0.293,0.9184,1.5997,1.0,1.0,1.3314,3.413,1.0888
NTRA,2024,Q1,0.2491,1.5823,0.166,0.9486,1.2453,0.6384,1.0,0.787,3.8462,1.0542
NTRA,2024,Q3,2.238,5.2833,0.4714,0.8985,3.6625,1.0,1.0,0.6932,2.1212,1.113
NTRA,2024,FY,0.3285,1.0629,0.3743,0.8256,1.3113,1.0,1.0,1.2338,2.6715,1.2113
NTRA,2025,Q1,0.583,1.1675,0.5172,0.9655,1.5211,1.0,1.0,1.3029,1.9334,1.0358
NTRA,2025,Q2,1.5882,1.8581,0.5851,1.4608,2.091,0.765,1.5495,1.1253,1.3075,1.0607
NTRA,2025,Q3,0.278,0.3787,0.5275,1.3916,0.7676,0.6987,1.4849,2.0268,1.3245,1.067
NTRA,2025,FY,1.1478,2.2184,0.8641,0.5988,2.8116,0.9172,1.0,1.2674,1.0615,1.67
NTRA,2026,Q1,1.5213,1.3824,0.8181,1.3452,1.8944,0.8912,1.4356,1.3704,1.0893,1.0672
