ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
NYT,2020,Q2,0.7471,1.0,0.7262,1.0288,1.0,1.0715,1.2252,1.0,1.4755,1.1909
NYT,2020,FY,0.3231,1.0,0.3189,1.0132,1.0,1.0,1.0,1.0,3.1359,0.9869
NYT,2021,Q1,0.0569,1.0,0.0564,1.01,1.0,1.0,1.213,1.0,17.7387,1.201
NYT,2021,Q3,0.0034,0.059,0.0762,0.7671,1.0,1.0,1.0,16.9419,13.1286,1.3035
NYT,2022,Q1,0.0098,0.0333,0.4012,0.7317,1.1361,1.0,0.9365,34.1426,2.4926,1.2799
NYT,2022,Q2,0.0569,0.6581,0.1231,0.7022,1.29,1.0,0.9604,1.9601,8.1225,1.3677
NYT,2022,Q3,0.218,1.1137,0.2474,0.7913,1.1926,1.1203,1.0,1.0708,4.5281,1.2638
NYT,2023,Q2,0.4206,0.5221,0.7258,1.1099,0.5405,1.0856,1.0824,1.0353,1.4957,0.9752
NYT,2023,Q3,1.1253,1.8591,0.6201,0.9761,1.0758,1.232,1.0,0.5786,1.9866,1.0245
NYT,2023,FY,0.2823,1.8918,0.1644,0.9076,1.1633,1.0,1.0,0.6149,6.0834,1.1018
NYT,2024,Q1,0.1376,1.2033,0.1439,0.7945,1.0434,1.0415,1.0,0.8671,7.2377,1.2586
NYT,2024,Q3,0.7124,1.1998,0.5746,1.0334,1.0925,1.0,1.0,0.9106,1.7404,0.9677
NYT,2024,FY,0.1346,0.4557,0.3799,0.7778,1.1125,1.0,1.0,2.4413,2.6324,1.2857
NYT,2025,Q1,0.2245,0.7351,0.3337,0.9154,1.0593,1.0,1.0,1.4411,2.9971,1.0924
NYT,2025,Q2,1.124,1.3232,0.7959,1.0674,1.1608,1.1376,1.1394,0.8773,1.4293,1.0675
NYT,2025,Q3,0.7723,0.835,0.8748,1.0572,1.1713,1.1319,1.1509,1.4027,1.2938,1.0887
NYT,2025,FY,0.8307,0.9449,0.8902,0.9876,1.2238,1.1386,1.0,1.2952,1.2791,1.0126
NYT,2026,Q1,0.7809,0.9946,0.7461,1.0522,1.199,1.1408,1.1707,1.2055,1.529,1.1126
