ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
OGE,2020,FY,0.2293,1.0,0.1986,1.1544,1.0,1.0,1.0,1.0,5.0347,0.8663
OGE,2021,Q2,0.2391,0.7976,0.3657,0.8198,1.0,1.0,0.8102,1.2538,2.7344,0.9882
OGE,2021,Q3,0.1052,0.2662,0.4344,0.9092,1.0,1.0,0.8576,3.7561,2.302,0.9433
OGE,2022,Q1,0.1813,0.5818,0.3154,0.9882,1.0,1.0334,1.0,1.7188,3.2766,1.012
OGE,2023,Q1,0.101,0.3105,0.3326,0.9781,0.3417,1.0738,0.9439,1.1004,3.2287,0.965
OGE,2023,Q2,0.407,0.9129,0.454,0.982,1.0717,1.2649,0.9449,1.174,2.7859,0.9623
OGE,2023,Q3,0.1902,0.5166,0.3665,1.0046,0.8635,1.0,1.0,1.6715,2.7289,0.9954
OGE,2023,FY,0.3966,1.4653,0.2452,1.1035,1.2921,1.0,1.0,0.8817,4.0777,0.9062
OGE,2024,Q1,0.2097,1.1754,0.2192,0.8139,1.0456,1.033,0.7974,0.8896,4.7124,0.9798
OGE,2024,Q3,0.3506,0.5674,0.6121,1.0096,0.3608,1.301,0.9513,0.6359,2.1256,0.9422
OGE,2024,FY,0.3704,1.0834,0.3901,0.8763,1.2623,1.0,1.0,1.1651,2.5634,1.1412
OGE,2025,Q1,0.3075,1.0366,0.3017,0.9834,1.2721,1.0924,0.9003,1.2272,3.6211,0.9155
OGE,2025,Q2,1.3943,1.8383,0.759,0.9994,2.4145,1.1319,0.9185,1.3135,1.4913,0.9191
OGE,2025,Q3,0.8293,0.628,1.3801,0.9567,1.1056,1.6239,0.9277,1.7604,1.1766,0.9697
OGE,2025,FY,0.6461,0.6166,1.0222,1.0251,0.9453,1.173,1.0,1.5331,1.1476,0.9755
OGE,2026,Q1,0.522,0.6861,0.8525,0.8923,1.0155,1.0715,0.869,1.4801,1.2568,0.9739
