ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
ORI,2021,Q2,0.1128,0.4728,0.252,0.9463,1.0,1.1633,1.0,2.1151,4.6159,1.0567
ORI,2021,FY,0.2053,1.1621,0.1808,0.9773,1.0,1.0845,1.0,0.8605,5.9982,1.0233
ORI,2022,Q2,0.2415,0.804,0.318,0.9446,0.8033,0.9783,1.0,0.9991,3.0769,1.0587
ORI,2022,FY,0.0459,0.1091,0.4165,1.0113,0.2808,1.0461,1.0,2.5745,2.5116,0.9889
ORI,2023,Q3,0.4541,1.2868,0.3745,0.9422,1.0,1.0,1.0,0.7771,2.6701,1.0613
ORI,2023,FY,0.2618,0.9122,0.3026,0.9483,0.8553,0.9494,1.0,0.9376,3.1376,1.0545
ORI,2024,FY,0.2785,1.1654,0.3393,0.7043,1.3607,1.0,1.0,1.1676,2.9473,1.4199
ORI,2025,Q1,0.5848,1.0181,0.6399,0.8976,1.0,1.1864,1.0,0.9822,1.854,1.1141
ORI,2025,Q2,0.7638,1.0407,0.7763,0.9455,1.22,1.102,1.0,1.1723,1.4196,1.0577
ORI,2025,FY,0.8046,0.6346,1.2871,0.9852,1.0204,1.6507,1.0,1.608,1.2825,1.015
ORI,2026,Q1,0.7518,0.8223,0.938,0.9746,1.1902,1.1592,1.0,1.4474,1.2358,1.0261
