ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
PEGA,2020,Q3,0.4872,1.0,0.4263,1.1428,1.0,1.0,1.364,1.0,2.3458,1.1935
PEGA,2021,Q1,0.0037,0.0132,0.2706,1.0449,1.0,1.0,1.3162,75.587,3.6958,1.2596
PEGA,2021,Q2,0.0484,0.1191,0.3761,1.0804,1.0,1.0,1.2837,8.3952,2.659,1.1882
PEGA,2021,Q3,0.0107,0.0461,0.2018,1.1465,0.3565,0.9086,1.2745,7.7389,4.5013,1.1116
PEGA,2021,FY,0.0347,0.4578,0.0822,0.9227,1.0,1.0,1.0,2.1843,12.1705,1.0837
PEGA,2022,Q1,0.0462,0.1029,0.4352,1.0306,1.2003,1.0,1.2271,11.6625,2.2975,1.1907
PEGA,2022,FY,0.3278,0.9859,0.3426,0.9703,1.0876,1.0,1.1624,1.1032,2.9185,1.198
PEGA,2023,Q2,0.0473,0.3354,0.15,0.94,0.4292,0.489,1.0,1.2796,3.2595,1.0638
PEGA,2023,Q3,0.3448,1.4433,0.2173,1.0995,1.3058,1.0,1.1798,0.9047,4.6026,1.0731
PEGA,2023,FY,0.1901,0.8845,0.2475,0.8684,1.0871,1.0,1.0,1.229,4.0407,1.1516
PEGA,2024,Q1,0.3331,0.7413,0.5165,0.87,0.8649,1.0,1.0,1.1668,1.9363,1.1495
PEGA,2024,Q2,0.5405,1.4753,0.4107,0.8919,1.0872,1.0,1.0,0.7369,2.4348,1.1212
PEGA,2024,FY,0.2463,0.7908,0.3222,0.9666,1.0451,1.0,1.0709,1.3216,3.1036,1.1079
PEGA,2025,Q1,0.2637,0.9185,0.3211,0.8941,1.0144,1.0,1.0,1.1043,3.1144,1.1185
PEGA,2025,Q2,0.3445,0.8841,0.4442,0.8772,1.1773,1.0,1.0,1.3316,2.2513,1.14
PEGA,2025,Q3,0.958,1.2339,0.7758,1.0009,1.1396,1.1283,1.1076,0.9236,1.4544,1.1066
PEGA,2025,FY,0.6505,0.732,1.0159,0.8748,1.1661,1.2909,1.0,1.593,1.2707,1.1431
PEGA,2026,Q1,0.5612,0.8484,0.6908,0.9574,1.3024,1.0,1.0673,1.5351,1.4476,1.1148
PEGA,2026,Q2,1.4955,2.2606,0.7172,0.9225,2.4226,1.0159,1.0193,1.0717,1.4166,1.105
