ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
PEP,2021,Q1,0.004,0.0163,0.2471,0.9826,1.0,1.1316,0.9775,61.3575,4.5793,0.9948
PEP,2021,Q3,0.0503,0.7809,0.0653,0.9876,1.0,1.0,0.9815,1.2806,15.3201,0.9938
PEP,2022,Q2,0.289,0.4175,0.6929,0.9989,1.0,1.0744,1.0,2.395,1.5506,1.0011
PEP,2022,Q3,0.1393,0.2366,0.6019,0.978,0.4052,1.1402,0.9718,1.7126,1.8942,0.9937
PEP,2022,FY,0.346,0.699,0.5659,0.8745,1.0,1.0,1.0,1.4306,1.767,1.1435
PEP,2023,Q1,0.8628,1.265,0.697,0.9786,1.0931,1.3583,1.0,0.8641,1.9488,1.0219
PEP,2023,Q2,0.1925,0.5418,0.3298,1.0776,0.5942,1.3915,1.0,1.0968,4.2197,0.928
PEP,2023,FY,0.6738,1.1423,0.6719,0.8779,1.1293,1.106,1.0,0.9887,1.646,1.1391
PEP,2024,Q1,0.2949,1.1367,0.2435,1.0657,1.1016,1.0,1.0,0.9692,4.1074,0.9383
PEP,2024,Q2,1.3036,2.555,0.5377,0.9488,1.1125,1.0,0.938,0.4354,1.8597,0.9885
PEP,2024,Q3,0.3898,1.8025,0.2208,0.9793,1.0675,1.0,1.0,0.5922,4.5286,1.0211
PEP,2024,FY,0.7488,0.9829,0.7679,0.9921,1.087,1.116,1.0,1.106,1.4533,1.008
PEP,2025,Q1,0.5647,0.6578,0.8371,1.0255,1.0226,1.1268,1.0,1.5545,1.346,0.9751
PEP,2025,Q2,0.3339,0.502,0.7264,0.9157,1.01,1.1593,0.9186,2.0121,1.5959,1.0031
PEP,2025,Q3,1.0939,1.191,0.9557,0.961,1.0206,1.3126,0.9697,0.8569,1.3734,1.009
PEP,2025,FY,0.7983,0.7517,0.9737,1.0906,1.0872,1.0969,1.0,1.4463,1.1265,0.917
PEP,2026,Q1,0.6604,0.9306,0.7382,0.9612,1.0654,1.136,0.9643,1.1448,1.5388,1.0032
PEP,2026,Q2,2.0148,1.9196,1.074,0.9774,1.9196,1.074,0.9774,1.0,1.0,1.0
