ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
PFG,2020,Q3,0.512,1.0,0.5422,0.9442,1.0,1.022,1.0,1.0,1.8848,1.0591
PFG,2021,Q1,0.104,0.4463,0.2351,0.9911,1.0,1.0,1.0,2.2408,4.2533,1.009
PFG,2021,Q2,0.1289,0.4728,0.2882,0.9463,1.0,1.3304,1.0,2.1151,4.6159,1.0567
PFG,2022,Q3,0.1087,0.2082,0.5365,0.9736,0.4192,1.0,1.0,2.0136,1.864,1.0271
PFG,2022,FY,0.2164,0.3884,0.551,1.0113,1.0,1.3839,1.0,2.5745,2.5116,0.9889
PFG,2023,Q1,0.7738,1.3642,0.5771,0.9828,0.9648,1.0,1.0,0.7072,1.7328,1.0175
PFG,2023,Q2,0.735,1.3145,0.5923,0.9441,1.0051,1.0,1.0,0.7646,1.6885,1.0592
PFG,2024,Q1,0.4337,0.8096,0.5802,0.9233,1.3094,1.1511,1.0,1.6173,1.9839,1.0831
PFG,2024,Q3,0.61,1.3701,0.4651,0.9574,0.9995,1.0,1.0,0.7295,2.1503,1.0445
PFG,2024,FY,0.1887,0.7897,0.3393,0.7043,0.922,1.0,1.0,1.1676,2.9473,1.4199
PFG,2025,Q2,0.6593,0.8804,0.7921,0.9455,1.032,1.1244,1.0,1.1723,1.4196,1.0577
PFG,2025,Q3,0.3975,0.4577,0.8989,0.966,0.8006,1.2475,1.0,1.7491,1.3877,1.0352
PFG,2025,FY,0.5033,0.6025,0.8479,0.9852,0.9689,1.0874,1.0,1.608,1.2825,1.015
PFG,2026,Q1,0.5373,0.6016,0.9164,0.9746,0.8707,1.1325,1.0,1.4474,1.2358,1.0261
