ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
PG,2020,FY,0.5308,1.0,0.6386,0.8312,1.0,1.0,1.0,1.0,1.5659,1.2031
PG,2021,Q1,0.0034,0.0163,0.2184,0.9587,1.0,1.0,0.9537,61.3575,4.5793,0.9948
PG,2021,Q3,0.0457,0.7809,0.0653,0.8961,1.0,1.0,0.8905,1.2806,15.3201,0.9938
PG,2021,FY,0.0896,1.4973,0.0633,0.9456,4.3009,1.0,1.0,2.8725,15.808,1.0575
PG,2022,Q1,0.0957,0.4359,0.253,0.868,1.0528,1.2534,0.8729,2.4151,4.9534,1.0057
PG,2022,Q2,0.3397,0.4175,0.8144,0.9989,1.0,1.2629,1.0,2.395,1.5506,1.0011
PG,2022,Q3,0.1119,0.1979,0.6384,0.8853,0.339,1.2093,0.8797,1.7126,1.8942,0.9937
PG,2023,Q2,0.1648,0.4849,0.3816,0.8905,0.5318,1.6102,0.8264,1.0968,4.2197,0.928
PG,2023,Q3,0.8538,0.5889,1.6803,0.8629,1.0354,2.3008,0.8371,1.7583,1.3693,0.9701
PG,2024,Q1,0.3359,1.0457,0.3014,1.0657,1.0135,1.238,1.0,0.9692,4.1074,0.9383
PG,2024,FY,0.7967,0.9525,0.8431,0.9921,1.0535,1.2253,1.0,1.106,1.4533,1.008
PG,2025,Q1,0.5751,0.6784,0.9084,0.9332,1.0546,1.2227,0.91,1.5545,1.346,0.9751
PG,2025,Q2,0.5946,1.0436,0.6266,0.9092,2.0998,1.0,0.9121,2.0121,1.5959,1.0031
PG,2025,Q3,2.0459,1.1743,1.7579,0.9911,1.0063,2.4142,1.0,0.8569,1.3734,1.009
PG,2025,FY,0.8681,0.7268,1.0953,1.0906,1.0511,1.2338,1.0,1.4463,1.1265,0.917
PG,2026,Q1,0.6611,0.8996,0.8249,0.8908,1.0299,1.2693,0.8937,1.1448,1.5388,1.0032
PG,2026,Q2,1.017,1.0224,1.1076,0.8981,1.0224,1.1076,0.8981,1.0,1.0,1.0
PG,2026,Q3,1.1643,1.0515,1.2286,0.9012,1.0515,1.2286,0.9012,1.0,1.0,1.0
