ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
PPG,2020,FY,0.2227,1.0,0.2227,1.0,1.0,1.0,1.0,1.0,4.4904,1.0
PPG,2021,Q3,0.2953,0.7114,0.4846,0.8567,1.0,1.0,1.1014,1.4056,2.0637,1.2857
PPG,2021,FY,0.2181,1.269,0.2048,0.8391,4.5884,1.0,1.1206,3.6156,4.8831,1.3355
PPG,2022,Q1,0.0556,0.271,0.2537,0.8092,1.0,1.0,1.0,3.6901,3.9424,1.2358
PPG,2022,Q2,0.1227,0.4847,0.3139,0.8062,1.0,1.1103,1.0,2.063,3.5376,1.2403
PPG,2022,Q3,0.5285,1.7757,0.3022,0.9849,3.0803,1.0622,1.1499,1.7347,3.5149,1.1676
PPG,2022,FY,0.2143,0.9144,0.2825,0.8295,1.2145,1.0,1.0,1.3282,3.5398,1.2056
PPG,2023,Q1,0.282,0.9058,0.3526,0.8829,1.2553,1.1118,1.1421,1.3859,3.1528,1.2935
PPG,2023,Q3,0.5361,1.1034,0.5007,0.9703,1.0319,1.095,1.1398,0.9351,2.1869,1.1746
PPG,2024,Q1,0.3441,0.9654,0.429,0.8309,0.899,1.0,1.0,0.9312,2.3312,1.2036
PPG,2024,Q3,0.1528,0.3007,0.5406,0.94,0.3292,1.0,1.1657,1.095,1.8497,1.2401
PPG,2024,FY,0.3054,1.1742,0.2601,1.0,0.9293,1.0,1.0,0.7914,3.8445,1.0
PPG,2025,Q1,0.3567,0.9101,0.4097,0.9565,0.8411,1.1127,1.1062,0.9242,2.7157,1.1565
PPG,2025,Q2,0.5117,0.7185,0.7587,0.9387,0.9624,1.0,1.1244,1.3393,1.3181,1.1978
PPG,2025,Q3,0.8084,0.8613,0.9867,0.9513,0.8922,1.123,1.1358,1.0359,1.1381,1.194
PPG,2025,FY,0.6469,0.7119,1.0152,0.8952,1.0167,1.1102,1.0,1.4282,1.0936,1.1171
PPG,2026,Q1,0.7565,0.7931,0.9716,0.9817,1.0668,1.1086,1.1718,1.345,1.141,1.1937
