ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
PRU,2020,FY,0.1002,1.0,0.1453,0.6898,1.0,1.0,1.0,1.0,6.8813,1.4498
PRU,2021,Q2,0.0969,0.4728,0.2166,0.9463,1.0,1.0,1.0,2.1151,4.6159,1.0567
PRU,2022,Q1,0.0521,0.1566,0.34,0.9794,1.0,1.0,1.0,6.3858,2.9415,1.0211
PRU,2022,Q2,0.2784,0.6228,0.4733,0.9446,0.6223,1.4561,1.0,0.9991,3.0769,1.0587
PRU,2022,Q3,0.2594,0.4966,0.5365,0.9736,1.0,1.0,1.0,2.0136,1.864,1.0271
PRU,2022,FY,0.2185,0.4831,0.4473,1.0113,1.2437,1.1234,1.0,2.5745,2.5116,0.9889
PRU,2023,FY,0.0518,0.1713,0.3187,0.9483,0.1606,1.0,1.0,0.9376,3.1376,1.0545
PRU,2024,Q1,0.4194,0.8575,0.5297,0.9233,1.3868,1.0509,1.0,1.6173,1.9839,1.0831
PRU,2024,Q2,0.7671,1.5531,0.5168,0.9558,2.412,1.0644,1.0,1.5531,2.0597,1.0463
PRU,2024,Q3,0.2971,0.5719,0.5426,0.9574,0.4172,1.1666,1.0,0.7295,2.1503,1.0445
PRU,2024,FY,0.9698,4.0582,0.3393,0.7043,4.7383,1.0,1.0,1.1676,2.9473,1.4199
PRU,2025,Q2,0.4217,0.6043,0.7381,0.9455,0.7084,1.0478,1.0,1.1723,1.4196,1.0577
PRU,2025,Q3,0.9786,1.3225,0.766,0.966,2.3132,1.063,1.0,1.7491,1.3877,1.0352
PRU,2025,FY,0.5731,0.7002,0.8308,0.9852,1.1259,1.0654,1.0,1.608,1.2825,1.015
PRU,2026,Q1,0.3745,0.4563,0.8421,0.9746,0.6604,1.0406,1.0,1.4474,1.2358,1.0261
