ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
PSX,2020,Q2,0.8922,1.0,0.9502,0.9389,1.0,0.9273,1.0764,1.0,0.9758,1.1464
PSX,2020,FY,0.199,1.0,0.199,1.0,1.0,1.0,1.0,1.0,5.024,1.0
PSX,2021,Q3,0.0869,0.6097,0.1594,0.8937,1.0,1.0,1.0,1.6401,6.2719,1.119
PSX,2022,Q1,0.1039,0.1736,0.6475,0.9246,1.0,0.9713,1.0,5.7608,1.5001,1.0816
PSX,2022,Q2,0.2537,0.7339,0.363,0.952,1.5296,1.0078,1.0,2.0842,2.7758,1.0504
PSX,2022,Q3,1.424,1.5111,0.9202,1.0241,2.8222,1.2636,1.0918,1.8677,1.3732,1.0661
PSX,2023,Q1,0.2075,2.0721,0.1093,0.9166,1.6729,1.0,1.0,0.8073,9.1519,1.0909
PSX,2023,Q2,0.756,1.3137,0.5623,1.0235,1.4289,1.0256,1.0995,1.0877,1.8239,1.0743
PSX,2023,FY,0.037,0.4678,0.0865,0.9154,1.7383,1.0,1.0,3.7159,11.5671,1.0924
PSX,2024,Q1,0.3417,0.6252,0.5888,0.9282,0.9507,1.0605,1.0,1.5206,1.8011,1.0774
PSX,2024,Q3,2.2377,3.9677,0.6016,0.9375,2.4275,1.02,1.0,0.6118,1.6956,1.0666
PSX,2024,FY,0.4488,1.1294,0.3724,1.0671,1.3222,1.0,1.0794,1.1708,2.6851,1.0115
PSX,2025,Q1,0.3369,0.8682,0.3748,1.0353,0.8847,1.0,1.0709,1.019,2.6682,1.0344
PSX,2025,Q2,0.2763,0.318,0.8794,0.9882,0.4796,1.0427,1.023,1.5082,1.1857,1.0352
PSX,2025,Q3,0.1923,0.2025,0.9299,1.0211,0.3163,1.0049,1.0705,1.5621,1.0806,1.0484
PSX,2025,FY,0.5227,0.86,0.9419,0.6453,0.8981,1.0354,1.0,1.0443,1.0993,1.5496
PSX,2026,Q1,0.8606,0.9344,0.9265,0.994,1.0693,1.0068,1.0423,1.1444,1.0867,1.0486
