ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
PYPL,2020,Q2,0.5905,1.0,0.5606,1.0532,1.0,1.0,1.113,1.0,1.7837,1.0568
PYPL,2020,Q3,0.558,1.0,0.5306,1.0517,1.0,1.0,1.1138,1.0,1.8848,1.0591
PYPL,2021,Q2,0.1311,0.5873,0.2166,1.0301,1.2421,1.0,1.0886,2.1151,4.6159,1.0567
PYPL,2021,FY,0.2354,1.1621,0.2073,0.9773,1.0,1.2436,1.0,0.8605,5.9982,1.0233
PYPL,2022,Q1,0.0521,0.1566,0.34,0.9794,1.0,1.0,1.0,6.3858,2.9415,1.0211
PYPL,2022,Q2,0.3472,1.0839,0.3169,1.0108,1.083,0.975,1.0701,0.9991,3.0769,1.0587
PYPL,2022,Q3,0.1046,0.2002,0.5365,0.9736,0.4031,1.0,1.0,2.0136,1.864,1.0271
PYPL,2023,Q1,0.8618,1.5195,0.5771,0.9828,1.0746,1.0,1.0,0.7072,1.7328,1.0175
PYPL,2023,Q3,0.6241,1.425,0.4648,0.9422,1.1074,1.2411,1.0,0.7771,2.6701,1.0613
PYPL,2023,FY,0.4917,1.368,0.3494,1.0286,1.2827,1.0964,1.0846,0.9376,3.1376,1.0545
PYPL,2024,Q1,0.3125,0.6715,0.504,0.9233,1.0859,1.0,1.0,1.6173,1.9839,1.0831
PYPL,2024,Q2,0.3766,0.7551,0.4855,1.0273,1.1727,1.0,1.0748,1.5531,2.0597,1.0463
PYPL,2024,Q3,2.2482,4.6914,0.4651,1.0304,3.4226,1.0,1.0763,0.7295,2.1503,1.0445
PYPL,2025,Q1,0.5953,1.1268,0.5394,0.9796,1.1067,1.0,1.0914,0.9822,1.854,1.1141
PYPL,2025,Q2,0.3322,0.4537,0.7044,1.0395,0.5318,1.0,1.0995,1.1723,1.4196,1.0577
PYPL,2025,Q3,0.185,0.2054,0.8461,1.0649,0.3592,1.1741,1.1023,1.7491,1.3877,1.0352
PYPL,2025,FY,0.6837,0.7497,0.9258,0.9852,1.2055,1.1873,1.0,1.608,1.2825,1.015
PYPL,2026,Q1,0.7278,0.7407,0.9336,1.0525,1.0721,1.1537,1.0799,1.4474,1.2358,1.0261
