ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
RGLD,2020,FY,0.2227,1.0,0.2227,1.0,1.0,1.0,1.0,1.0,4.4904,1.0
RGLD,2021,Q3,0.5158,0.7114,0.4846,1.4963,1.0,1.0,1.9237,1.4056,2.0637,1.2857
RGLD,2021,FY,0.2377,0.7037,0.4511,0.7488,2.5444,2.2027,1.0,3.6156,4.8831,1.3355
RGLD,2022,Q1,0.0556,0.271,0.2537,0.8092,1.0,1.0,1.0,3.6901,3.9424,1.2358
RGLD,2022,Q2,0.1105,0.4847,0.2827,0.8062,1.0,1.0,1.0,2.063,3.5376,1.2403
RGLD,2022,Q3,0.1718,0.7052,0.2845,0.8565,1.2233,1.0,1.0,1.7347,3.5149,1.1676
RGLD,2023,Q1,0.3294,0.7976,0.5342,0.7731,1.1054,1.6843,1.0,1.3859,3.1528,1.2935
RGLD,2023,Q2,0.8852,2.2141,0.3829,1.0442,1.8713,1.0,1.3786,0.8452,2.6118,1.3202
RGLD,2023,Q3,0.4814,0.8057,0.7018,0.8513,0.7535,1.5347,1.0,0.9351,2.1869,1.1746
RGLD,2023,FY,0.3266,0.6975,0.5842,0.8014,1.1235,1.6761,1.0,1.6109,2.8688,1.2478
RGLD,2024,Q1,0.6426,1.127,0.6862,0.8309,1.0495,1.5997,1.0,0.9312,2.3312,1.2036
RGLD,2024,Q3,0.4199,0.9632,0.5406,0.8064,1.0547,1.0,1.0,1.095,1.8497,1.2401
RGLD,2024,FY,0.5781,2.2224,0.2601,1.0,1.7589,1.0,1.0,0.7914,3.8445,1.0
RGLD,2025,Q1,0.3011,0.9455,0.3682,0.8647,0.8739,1.0,1.0,0.9242,2.7157,1.1565
RGLD,2025,Q2,0.5203,0.4978,0.7587,1.3777,0.6667,1.0,1.6503,1.3393,1.3181,1.1978
RGLD,2025,Q3,1.8393,1.7554,0.8786,1.1926,1.8184,1.0,1.4239,1.0359,1.1381,1.194
RGLD,2025,FY,1.7883,1.1961,1.6701,0.8952,1.7083,1.8265,1.0,1.4282,1.0936,1.1171
RGLD,2026,Q1,6.5491,2.3424,2.1937,1.2745,3.1506,2.5031,1.5213,1.345,1.141,1.1937
