ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
ROIV,2021,Q1,0.0432,1.0,0.0496,0.8706,1.0,0.165,1.0,1.0,3.3243,1.1486
ROIV,2021,Q2,0.0081,0.4868,0.0176,0.9457,1.0,0.036,1.0,2.0543,2.0437,1.0575
ROIV,2021,Q3,0.0106,0.8573,0.0142,0.8717,1.0,0.0216,1.0,1.1664,1.5216,1.1472
ROIV,2022,Q1,0.4537,1.7246,0.3012,0.8734,4.908,1.0,1.0,2.8459,3.3199,1.145
ROIV,2022,Q2,2.2625,12.1414,0.2198,0.8479,10.5722,1.0,1.0,0.8708,4.5502,1.1794
ROIV,2022,Q3,0.0327,2.7902,0.0128,0.9125,4.2332,0.0406,1.0,1.5172,3.1645,1.0959
ROIV,2022,FY,0.0121,0.4719,0.0275,0.9345,1.0,0.0614,1.0,2.1191,2.2315,1.0701
ROIV,2023,Q1,0.1335,0.3667,0.4369,0.8335,0.5584,1.0,1.0,1.5229,2.2891,1.1997
ROIV,2023,Q2,0.0028,0.5187,0.006,0.8939,0.896,0.0184,1.0,1.7276,3.0625,1.1187
ROIV,2023,Q3,0.1978,0.6853,0.3153,0.9154,0.7005,1.0,1.0,1.0222,3.1712,1.0925
ROIV,2024,Q1,1.5689,6.3617,0.26,0.9486,5.0067,1.0,1.0,0.787,3.8462,1.0542
ROIV,2024,Q2,0.4313,0.3434,0.6155,2.0408,0.3571,1.0,2.1848,1.0398,1.6246,1.0706
ROIV,2024,Q3,0.5576,1.3165,0.4714,0.8985,0.9126,1.0,1.0,0.6932,2.1212,1.113
ROIV,2024,FY,0.0043,0.4622,0.0113,0.8256,0.5703,0.0303,1.0,1.2338,2.6715,1.2113
ROIV,2025,Q1,0.001,0.077,0.0041,3.3166,0.1004,0.0079,3.4352,1.3029,1.9334,1.0358
ROIV,2025,Q2,0.7266,0.312,0.7648,3.0455,0.3511,1.0,3.2302,1.1253,1.3075,1.0607
ROIV,2025,Q3,0.0005,0.0634,0.0025,2.9333,0.1285,0.0033,3.13,2.0268,1.3245,1.067
ROIV,2025,FY,0.0063,0.2067,0.0192,1.5801,0.262,0.0203,2.6387,1.2674,1.0615,1.67
