ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
RPRX,2021,Q1,0.6294,1.0,0.3421,1.8398,1.0,1.1372,2.1133,1.0,3.3243,1.1486
RPRX,2021,Q2,0.4776,0.4868,0.4893,2.0052,1.0,1.0,2.1204,2.0543,2.0437,1.0575
RPRX,2021,Q3,0.4911,0.8573,0.6572,0.8717,1.0,1.0,1.0,1.1664,1.5216,1.1472
RPRX,2021,FY,2.1189,0.7017,1.5227,1.983,1.0,5.0484,2.0614,1.4251,3.3155,1.0395
RPRX,2022,Q3,0.3434,0.7021,0.4206,1.1628,1.0651,1.3311,1.2744,1.5172,3.1645,1.0959
RPRX,2022,FY,0.2322,0.4974,0.4995,0.9345,1.0541,1.1146,1.0,2.1191,2.2315,1.0701
RPRX,2023,Q1,0.3037,0.6441,0.5658,0.8335,0.9808,1.2951,1.0,1.5229,2.2891,1.1997
RPRX,2023,Q2,0.223,0.5614,0.3265,1.2164,0.9698,1.0,1.3607,1.7276,3.0625,1.1187
RPRX,2024,Q1,0.7353,1.284,0.26,2.2026,1.0105,1.0,2.3221,0.787,3.8462,1.0542
RPRX,2024,Q3,0.6602,1.3491,0.5447,0.8985,0.9352,1.1554,1.0,0.6932,2.1212,1.113
RPRX,2024,FY,0.2534,0.8201,0.3743,0.8256,1.0118,1.0,1.0,1.2338,2.6715,1.2113
RPRX,2025,Q2,1.3884,0.9554,1.427,1.0183,1.0752,1.8658,1.0801,1.1253,1.3075,1.0607
RPRX,2025,Q3,2.2192,0.5605,2.7866,1.4208,1.1361,3.6909,1.516,2.0268,1.3245,1.067
RPRX,2025,FY,1.0551,0.829,2.1256,0.5988,1.0506,2.2563,1.0,1.2674,1.0615,1.67
RPRX,2026,Q1,3.7519,0.8101,3.5663,1.2986,1.1102,3.8848,1.3859,1.3704,1.0893,1.0672
