ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
RRC,2020,Q3,0.3415,1.0,0.3735,0.9143,1.0,1.0,1.0,1.0,2.6775,1.0937
RRC,2022,Q1,0.107,0.1736,0.6666,0.9246,1.0,1.0,1.0,5.7608,1.5001,1.0816
RRC,2022,Q2,0.1137,0.4798,0.3603,0.6579,1.0,1.0,0.6911,2.0842,2.7758,1.0504
RRC,2022,Q3,2.4666,4.1554,0.6328,0.938,7.7609,0.869,1.0,1.8677,1.3732,1.0661
RRC,2022,FY,0.6226,1.9321,0.3173,1.0157,1.0,1.0,1.0,0.5176,3.1519,0.9845
RRC,2023,Q1,0.0328,0.3273,0.1093,0.9166,0.2643,1.0,1.0,0.8073,9.1519,1.0909
RRC,2023,Q2,0.2321,0.478,0.5483,0.8857,0.5199,1.0,0.9514,1.0877,1.8239,1.0743
RRC,2023,Q3,0.7282,1.0106,0.7846,0.9184,1.0473,1.2997,0.9747,1.0363,1.6567,1.0613
RRC,2023,FY,0.0365,0.4613,0.0865,0.9154,1.714,1.0,1.0,3.7159,11.5671,1.0924
RRC,2024,Q1,1.3375,2.3482,0.5552,1.0258,3.5708,1.0,1.1052,1.5206,1.8011,1.0774
RRC,2024,Q2,1.203,2.9247,0.549,0.7493,1.8453,1.0,0.8328,0.6309,1.8216,1.1115
RRC,2024,FY,0.2532,0.6118,0.4185,0.9886,0.7163,1.1238,1.0,1.1708,2.6851,1.0115
RRC,2025,Q1,0.3651,1.0501,0.4361,0.7974,1.07,1.1635,0.8248,1.019,2.6682,1.0344
RRC,2025,Q3,0.4696,0.6039,0.9875,0.7874,0.9434,1.0671,0.8255,1.5621,1.0806,1.0484
RRC,2025,FY,0.9186,1.2343,1.1532,0.6453,1.289,1.2678,1.0,1.0443,1.0993,1.5496
RRC,2026,Q1,0.9431,1.3087,0.9202,0.7831,1.4976,1.0,0.8212,1.1444,1.0867,1.0486
RRC,2026,Q2,0.8018,0.7092,1.306,0.8657,0.7092,1.306,0.8657,1.0,1.0,1.0
