ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
RYN,2020,FY,0.1147,1.0,0.1147,1.0,1.0,1.0,1.0,1.0,8.7205,1.0
RYN,2021,Q1,0.0645,0.1474,0.3967,1.1031,1.0,1.0601,1.2353,6.7824,2.6723,1.1198
RYN,2021,Q2,0.2925,0.6477,0.4444,1.0164,1.0,1.0,1.1962,1.544,2.2501,1.177
RYN,2021,Q3,0.2164,0.4542,0.4761,1.0008,1.0,0.9962,1.0,2.2018,2.0926,0.9992
RYN,2022,Q1,0.2273,0.2724,0.5521,1.5114,1.1599,1.0,1.5937,4.2584,1.8113,1.0545
RYN,2022,Q2,0.3098,0.5353,0.4773,1.2128,0.97,1.0543,1.505,1.8121,2.2088,1.241
RYN,2022,Q3,0.586,1.301,0.47,0.9583,1.8369,1.4347,1.0,1.4119,3.0526,1.0435
RYN,2023,Q2,0.271,0.4367,0.4879,1.2718,0.4459,1.1002,1.2428,1.0212,2.2549,0.9772
RYN,2023,Q3,0.7764,1.3868,0.4976,1.1251,1.6135,1.0,1.2631,1.1634,2.0096,1.1227
RYN,2023,FY,0.5922,1.1346,0.3987,1.3092,1.2915,1.0,1.0,1.1383,2.5083,0.7638
RYN,2024,Q1,0.4128,0.997,0.321,1.2897,0.8063,1.0,1.0,0.8087,3.1149,0.7754
RYN,2024,Q2,0.5977,2.0726,0.2421,1.1911,1.636,1.0,1.2559,0.7894,4.1306,1.0544
RYN,2024,FY,0.4863,1.1463,0.4035,1.0513,1.1369,1.0,1.0,0.9918,2.4782,0.9512
RYN,2025,Q1,0.2807,0.3314,0.5057,1.675,0.4619,1.0,1.3948,1.3941,1.9773,0.8327
RYN,2025,Q2,0.3588,0.3134,0.7639,1.4986,0.5545,1.0,1.5183,1.7692,1.3091,1.0132
RYN,2025,Q3,0.3894,0.231,1.1088,1.5203,0.3009,1.3278,1.51,1.3024,1.1975,0.9933
RYN,2025,FY,11.5122,0.2333,45.821,1.077,0.3829,55.8099,1.0,1.6414,1.218,0.9285
RYN,2026,Q1,2.6281,2.3054,0.7804,1.4608,3.3504,0.9567,1.3625,1.4533,1.226,0.9327
