ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
SAIC,2021,Q2,0.0381,0.1191,0.3761,0.8497,1.0,1.0,1.0096,8.3952,2.659,1.1882
SAIC,2021,FY,0.0347,0.4578,0.0822,0.9227,1.0,1.0,1.0,2.1843,12.1705,1.0837
SAIC,2022,Q1,0.0331,0.0857,0.4551,0.8482,1.0,1.0457,1.0099,11.6625,2.2975,1.1907
SAIC,2022,Q2,0.0334,0.2142,0.1647,0.9468,0.5214,1.0981,0.9903,2.4341,6.6682,1.046
SAIC,2022,Q3,0.1757,0.7024,0.2622,0.954,1.0,1.0128,0.9971,1.4236,3.8621,1.0452
SAIC,2023,Q1,0.5288,1.2473,0.4912,0.863,1.0628,1.0,0.9891,0.8521,2.0358,1.1461
SAIC,2023,Q3,0.233,1.1297,0.2203,0.9362,1.0221,1.0141,1.0046,0.9047,4.6026,1.0731
SAIC,2024,Q2,0.5166,1.3533,0.428,0.8919,0.9973,1.0421,1.0,0.7369,2.4348,1.1212
SAIC,2024,Q3,0.1715,0.3556,0.5222,0.9234,0.3304,1.0516,1.0422,0.929,2.0138,1.1287
SAIC,2024,FY,0.2396,0.7929,0.3348,0.9026,1.0479,1.0389,1.0,1.3216,3.1036,1.1079
SAIC,2025,Q1,0.2641,0.9201,0.3211,0.8941,1.016,1.0,1.0,1.1043,3.1144,1.1185
SAIC,2025,Q2,0.2756,0.7456,0.4442,0.8321,0.9929,1.0,0.9486,1.3316,2.2513,1.14
SAIC,2025,FY,0.4612,0.632,0.8409,0.8679,1.0068,1.0685,0.9922,1.593,1.2707,1.1431
SAIC,2026,Q1,0.3677,0.5933,0.6908,0.8971,0.9107,1.0,1.0,1.5351,1.4476,1.1148
SAIC,2026,Q2,0.6132,0.908,0.7934,0.8512,0.973,1.1239,0.9406,1.0717,1.4166,1.105
SAIC,2026,Q3,3.2494,2.9087,1.0521,1.0618,2.9087,1.0521,1.0618,1.0,1.0,1.0
SAIC,2026,FY,1.0261,0.9756,1.0519,1.0,0.9756,1.0519,1.0,1.0,1.0,1.0
SAIC,2027,Q1,1.1526,1.0319,1.0642,1.0496,1.0319,1.0642,1.0496,1.0,1.0,1.0
