ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
SLB,2020,FY,0.199,1.0,0.199,1.0,1.0,1.0,1.0,1.0,5.024,1.0
SLB,2021,Q2,0.2106,0.6024,0.384,0.9104,1.0,1.0,1.0,1.66,2.6044,1.0985
SLB,2021,Q3,0.0941,0.6097,0.1594,0.9684,1.0,1.0,1.0836,1.6401,6.2719,1.119
SLB,2021,FY,0.2896,0.7791,0.3717,1.0,0.9715,1.0,1.0,1.247,2.6902,1.0
SLB,2022,Q1,0.1259,0.1736,0.7303,0.993,1.0,1.0956,1.0741,5.7608,1.5001,1.0816
SLB,2022,Q2,0.3585,0.9726,0.3872,0.952,2.0271,1.0747,1.0,2.0842,2.7758,1.0504
SLB,2022,FY,0.7628,2.367,0.3173,1.0157,1.2251,1.0,1.0,0.5176,3.1519,0.9845
SLB,2023,Q2,0.3738,0.5735,0.7001,0.9309,0.6238,1.277,1.0,1.0877,1.8239,1.0743
SLB,2023,Q3,0.4817,0.4801,0.9611,1.0439,0.4975,1.5923,1.1079,1.0363,1.6567,1.0613
SLB,2023,FY,0.0251,0.3174,0.0865,0.9154,1.1796,1.0,1.0,3.7159,11.5671,1.0924
SLB,2024,Q1,0.5001,0.8533,0.6315,0.9282,1.2976,1.1373,1.0,1.5206,1.8011,1.0774
SLB,2024,Q2,1.2409,1.8952,0.7278,0.8996,1.1958,1.3257,1.0,0.6309,1.8216,1.1115
SLB,2024,FY,0.3942,0.9354,0.4262,0.9886,1.0952,1.1444,1.0,1.1708,2.6851,1.0115
SLB,2025,Q1,0.4579,1.1046,0.4289,0.9667,1.1255,1.1443,1.0,1.019,2.6682,1.0344
SLB,2025,Q2,1.3235,1.3946,0.8968,1.0583,2.1033,1.0633,1.0955,1.5082,1.1857,1.0352
SLB,2025,Q3,0.7413,0.6878,1.0132,1.0637,1.0744,1.0949,1.1152,1.5621,1.0806,1.0484
SLB,2025,FY,0.6123,0.9423,1.007,0.6453,0.984,1.107,1.0,1.0443,1.0993,1.5496
SLB,2026,Q1,0.9281,0.8752,1.0082,1.0517,1.0016,1.0956,1.1029,1.1444,1.0867,1.0486
