ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
SON,2020,Q2,0.4217,1.0,0.4165,1.0125,1.0,1.0221,1.1241,1.0,2.4544,1.1102
SON,2020,FY,0.2565,1.0,0.3159,0.8118,1.0,1.0,1.0,1.0,3.1652,1.2318
SON,2021,Q3,0.161,0.3142,0.5773,0.8878,1.0,1.0679,1.0,3.1823,1.8499,1.1264
SON,2022,Q1,0.1151,0.3983,0.3171,0.911,1.0,1.0,1.0,2.5105,3.1531,1.0978
SON,2022,Q2,0.1002,0.391,0.2713,0.9441,0.5425,0.8054,1.0,1.3876,2.9682,1.0593
SON,2022,Q3,1.9869,3.8993,0.4859,1.0487,4.2479,1.0711,1.1116,1.0894,2.2043,1.06
SON,2023,Q1,0.4788,0.9361,0.5586,0.9157,1.3086,1.0,1.0,1.3979,1.7903,1.0921
SON,2023,Q2,0.529,1.2526,0.4552,0.9278,1.3837,1.0,1.0,1.1046,2.1967,1.0779
SON,2023,FY,0.2278,0.8608,0.2789,0.9488,1.0922,1.0,1.0,1.2688,3.5858,1.054
SON,2024,Q1,0.5552,1.0102,0.5359,1.0255,0.9247,1.0,1.0939,0.9153,1.866,1.0667
SON,2024,Q2,0.3853,0.8536,0.4513,1.0003,0.8485,1.0,1.0915,0.9941,2.216,1.0911
SON,2024,Q3,0.0607,0.257,0.2508,0.9418,0.3068,1.0,1.0,1.1939,3.9871,1.0618
SON,2024,FY,0.2928,0.7932,0.3894,0.9479,1.0243,1.0865,1.0,1.2912,2.7904,1.055
SON,2025,Q2,0.7098,1.0292,0.6799,1.0143,1.1768,1.0,1.0781,1.1433,1.4707,1.0629
SON,2025,Q3,1.4027,1.6402,0.9321,0.9175,1.246,1.0613,0.9736,0.7596,1.1386,1.0612
SON,2025,FY,0.8711,0.9931,1.0076,0.8705,1.2832,1.1539,1.0,1.2922,1.1452,1.1488
SON,2026,Q1,0.6283,0.7445,0.9076,0.9299,1.0238,1.042,0.9877,1.3751,1.1482,1.0622
