ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
SPGI,2020,Q2,1.0227,1.0,0.9512,1.0752,1.0,1.6965,1.1362,1.0,1.7837,1.0568
SPGI,2020,Q3,0.6535,1.0,0.5777,1.1312,1.0,1.0889,1.1981,1.0,1.8848,1.0591
SPGI,2020,FY,0.1075,1.0,0.1559,0.6898,1.0,1.0728,1.0,1.0,6.8813,1.4498
SPGI,2021,Q2,0.07,0.267,0.2166,1.2101,0.5648,1.0,1.2788,2.1151,4.6159,1.0567
SPGI,2022,Q1,0.087,0.1566,0.5673,0.9794,1.0,1.6689,1.0,6.3858,2.9415,1.0211
SPGI,2022,Q2,1.0346,2.5583,0.3966,1.0196,2.556,1.2204,1.0794,0.9991,3.0769,1.0587
SPGI,2022,Q3,0.0971,0.1859,0.5365,0.9736,0.3743,1.0,1.0,2.0136,1.864,1.0271
SPGI,2023,Q1,0.9504,1.6756,0.5771,0.9828,1.185,1.0,1.0,0.7072,1.7328,1.0175
SPGI,2023,Q3,0.7905,1.7641,0.4756,0.9422,1.3709,1.2699,1.0,0.7771,2.6701,1.0613
SPGI,2023,FY,0.4843,1.6023,0.3187,0.9483,1.5024,1.0,1.0,0.9376,3.1376,1.0545
SPGI,2024,Q1,0.3806,0.8179,0.504,0.9233,1.3227,1.0,1.0,1.6173,1.9839,1.0831
SPGI,2024,Q2,0.3827,0.7489,0.5346,0.9558,1.1631,1.1011,1.0,1.5531,2.0597,1.0463
SPGI,2024,Q3,0.6579,1.4776,0.4651,0.9574,1.0779,1.0,1.0,0.7295,2.1503,1.0445
SPGI,2025,Q1,0.7846,1.1248,0.7771,0.8976,1.1047,1.4408,1.0,0.9822,1.854,1.1141
SPGI,2025,Q2,0.4902,0.5116,1.0193,0.9399,0.5997,1.447,0.9941,1.1723,1.4196,1.0577
SPGI,2025,Q3,6.6233,0.7208,9.5951,0.9577,1.2607,13.3151,0.9914,1.7491,1.3877,1.0352
SPGI,2025,FY,0.9249,0.853,1.1006,0.9852,1.3716,1.4115,1.0,1.608,1.2825,1.015
SPGI,2026,Q1,0.894,0.8255,1.2655,0.8558,1.1948,1.5639,0.8781,1.4474,1.2358,1.0261
