ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
SRPT,2020,Q3,0.2348,1.0,0.1369,1.7147,1.0,0.4774,1.831,1.0,3.4868,1.0678
SRPT,2020,FY,0.3395,1.0,0.3909,0.8686,1.0,1.0,1.0,1.0,2.5585,1.1512
SRPT,2021,Q2,0.2186,0.4868,0.2719,1.6518,1.0,0.5557,1.7468,2.0543,2.0437,1.0575
SRPT,2021,FY,0.8336,2.873,0.3016,0.962,4.0942,1.0,1.0,1.4251,3.3155,1.0395
SRPT,2022,Q1,0.0395,0.3514,0.1288,0.8734,1.0,0.4276,1.0,2.8459,3.3199,1.145
SRPT,2022,Q3,0.3341,1.3344,0.168,1.4901,2.0244,0.5317,1.6331,1.5172,3.1645,1.0959
SRPT,2023,Q1,0.3614,0.9925,0.4369,0.8335,1.5115,1.0,1.0,1.5229,2.2891,1.1997
SRPT,2023,Q2,0.2414,0.8269,0.3265,0.8939,1.4286,1.0,1.0,1.7276,3.0625,1.1187
SRPT,2023,FY,0.6001,1.3902,0.293,1.4733,1.8509,1.0,1.6042,1.3314,3.413,1.0888
SRPT,2024,Q1,0.9509,2.419,0.26,1.5119,1.9038,1.0,1.5939,0.787,3.8462,1.0542
SRPT,2024,Q2,0.7061,0.7804,0.6155,1.47,0.8115,1.0,1.5738,1.0398,1.6246,1.0706
SRPT,2024,Q3,0.0973,0.6614,0.1637,0.8985,0.4585,0.3472,1.0,0.6932,2.1212,1.113
SRPT,2024,FY,0.5371,1.0998,0.3743,1.3046,1.3569,1.0,1.5802,1.2338,2.6715,1.2113
SRPT,2025,Q2,2.3276,2.7719,0.6254,1.3427,3.1193,0.8178,1.4241,1.1253,1.3075,1.0607
SRPT,2025,Q3,2.5783,2.7999,0.6848,1.3448,5.6747,0.907,1.4349,2.0268,1.3245,1.067
SRPT,2025,FY,0.066,0.3053,0.3608,0.5988,0.3869,0.383,1.0,1.2674,1.0615,1.67
SRPT,2026,Q1,3.8866,1.4834,1.6779,1.5615,2.0329,1.8277,1.6664,1.3704,1.0893,1.0672
