ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
STAG,2020,Q3,0.1565,1.0,0.1571,0.9967,1.0,1.0,1.0,1.0,6.3673,1.0033
STAG,2021,Q2,0.2446,0.6477,0.4444,0.8496,1.0,1.0,1.0,1.544,2.2501,1.177
STAG,2021,Q3,0.2632,0.5503,0.4779,1.0008,1.2116,1.0,1.0,2.2018,2.0926,0.9992
STAG,2021,FY,0.5051,1.7072,0.2586,1.1442,1.0,1.0,1.0,0.5857,3.8672,0.874
STAG,2022,Q1,0.1229,0.2348,0.5521,0.9483,1.0,1.0,1.0,4.2584,1.8113,1.0545
STAG,2022,Q2,0.3101,0.6495,0.5925,0.8058,1.1769,1.3087,1.0,1.8121,2.2088,1.241
STAG,2022,Q3,0.2602,0.8288,0.3276,0.9583,1.1702,1.0,1.0,1.4119,3.0526,1.0435
STAG,2022,FY,0.1014,0.2398,0.4231,1.0,0.8599,1.0,1.0,3.5863,2.3635,1.0
STAG,2023,Q1,0.5616,0.926,0.5902,1.0276,1.1882,1.5131,1.0,1.2831,2.5635,0.9732
STAG,2023,Q2,0.5185,1.1424,0.4435,1.0233,1.1667,1.0,1.0,1.0212,2.2549,0.9772
STAG,2024,Q1,0.5581,1.3479,0.321,1.2897,1.0901,1.0,1.0,0.8087,3.1149,0.7754
STAG,2024,Q2,0.7518,1.3468,0.5886,0.9484,1.0631,2.4312,1.0,0.7894,4.1306,1.0544
STAG,2024,Q3,1.5012,3.3871,0.4237,1.0461,3.154,1.4178,1.0,0.9312,3.3466,0.9559
STAG,2024,FY,0.7981,1.371,0.5537,1.0513,1.3598,1.3723,1.0,0.9918,2.4782,0.9512
STAG,2025,Q1,0.4708,0.7751,0.5057,1.2009,1.0806,1.0,1.0,1.3941,1.9773,0.8327
STAG,2025,Q2,0.6834,0.6834,1.0131,0.987,1.2091,1.3262,1.0,1.7692,1.3091,1.0132
STAG,2025,Q3,0.3376,0.3091,1.085,1.0068,0.4025,1.2993,1.0,1.3024,1.1975,0.9933
STAG,2025,FY,1.0345,0.7833,1.2262,1.077,1.2858,1.4935,1.0,1.6414,1.218,0.9285
STAG,2026,Q1,1.0025,0.8226,1.1366,1.0722,1.1955,1.3935,1.0,1.4533,1.226,0.9327
