ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
STE,2021,Q2,0.3114,0.4868,0.4893,1.3073,1.0,1.0,1.3824,2.0543,2.0437,1.0575
STE,2022,FY,0.1976,0.4719,0.4481,0.9345,1.0,1.0,1.0,2.1191,2.2315,1.0701
STE,2023,Q1,0.2338,0.6567,0.4272,0.8335,1.0,0.9779,1.0,1.5229,2.2891,1.1997
STE,2023,Q2,0.6812,1.8044,0.3265,1.1561,3.1172,1.0,1.2934,1.7276,3.0625,1.1187
STE,2023,Q3,0.3204,0.9783,0.3579,0.9154,1.0,1.1348,1.0,1.0222,3.1712,1.0925
STE,2024,Q1,0.3742,1.5174,0.26,0.9486,1.1942,1.0,1.0,0.787,3.8462,1.0542
STE,2024,FY,0.2937,0.9502,0.3743,0.8256,1.1724,1.0,1.0,1.2338,2.6715,1.2113
STE,2025,Q1,0.6339,0.8492,0.5836,1.2792,1.1064,1.1283,1.3249,1.3029,1.9334,1.0358
STE,2025,Q2,0.3366,0.4668,0.7648,0.9428,0.5253,1.0,1.0,1.1253,1.3075,1.0607
STE,2025,Q3,0.3747,0.5296,0.755,0.9372,1.0734,1.0,1.0,2.0268,1.3245,1.067
STE,2025,FY,1.4225,2.5216,0.942,0.5988,3.1959,1.0,1.0,1.2674,1.0615,1.67
STE,2026,Q1,1.021,0.7934,1.0527,1.2225,1.0872,1.1467,1.3047,1.3704,1.0893,1.0672
STE,2026,Q2,1.811,1.1794,1.1518,1.3332,1.1794,1.1518,1.3332,1.0,1.0,1.0
STE,2026,Q3,1.7932,1.1529,1.1492,1.3534,1.1529,1.1492,1.3534,1.0,1.0,1.0
STE,2026,FY,1.9285,1.3085,1.1524,1.2788,1.3085,1.1524,1.2788,1.0,1.0,1.0
