ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
STT,2021,Q2,0.0969,0.4728,0.2166,0.9463,1.0,1.0,1.0,2.1151,4.6159,1.0567
STT,2021,Q3,0.3422,0.9006,0.3898,0.9749,1.0,1.249,1.0,1.1104,3.2045,1.0257
STT,2022,Q1,0.0521,0.1566,0.34,0.9794,1.0,1.0,1.0,6.3858,2.9415,1.0211
STT,2022,Q2,0.3064,0.9979,0.325,0.9446,0.997,1.0,1.0,0.9991,3.0769,1.0587
STT,2022,Q3,0.3595,0.5278,0.6996,0.9736,1.0629,1.3041,1.0,2.0136,1.864,1.0271
STT,2022,FY,0.1564,0.3884,0.3982,1.0113,1.0,1.0,1.0,2.5745,2.5116,0.9889
STT,2023,Q1,1.0419,1.4768,0.7178,0.9828,1.0444,1.2438,1.0,0.7072,1.7328,1.0175
STT,2023,Q2,0.3609,0.6454,0.5923,0.9441,0.4935,1.0,1.0,0.7646,1.6885,1.0592
STT,2023,Q3,0.413,1.1703,0.3745,0.9422,0.9094,1.0,1.0,0.7771,2.6701,1.0613
STT,2023,FY,0.4269,1.096,0.4107,0.9483,1.0277,1.2885,1.0,0.9376,3.1376,1.0545
STT,2024,Q1,0.3519,0.6223,0.6125,0.9233,1.0065,1.2151,1.0,1.6173,1.9839,1.0831
STT,2024,Q2,0.3147,0.6781,0.4855,0.9558,1.0532,1.0,1.0,1.5531,2.0597,1.0463
STT,2024,FY,0.2679,0.8651,0.4397,0.7043,1.0101,1.2959,1.0,1.1676,2.9473,1.4199
STT,2025,Q1,0.4988,1.0303,0.5394,0.8976,1.0119,1.0,1.0,0.9822,1.854,1.1141
STT,2025,Q2,0.6299,0.9458,0.7044,0.9455,1.1087,1.0,1.0,1.1723,1.4196,1.0577
STT,2025,Q3,0.6925,0.7532,0.9518,0.966,1.3174,1.3208,1.0,1.7491,1.3877,1.0352
STT,2025,FY,0.6952,0.7138,0.9885,0.9852,1.1478,1.2678,1.0,1.608,1.2825,1.015
STT,2026,Q1,0.8252,0.8358,1.0131,0.9746,1.2097,1.252,1.0,1.4474,1.2358,1.0261
