ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
TAP,2020,Q1,0.8034,1.0,0.9565,0.84,1.0,0.9565,0.84,1.0,1.0,1.0
TAP,2020,Q3,0.3894,1.0,0.4694,0.8295,1.0,1.0398,0.8493,1.0,2.215,1.0239
TAP,2020,FY,0.5308,1.0,0.6386,0.8312,1.0,1.0,1.0,1.0,1.5659,1.2031
TAP,2021,Q1,0.0029,0.0145,0.2266,0.8743,0.889,1.0377,0.8697,61.3575,4.5793,0.9948
TAP,2021,Q2,0.0857,0.1624,0.559,0.9438,1.0,1.0,1.0,6.1575,1.7889,1.0595
TAP,2022,Q1,0.0907,0.4851,0.2019,0.9259,1.1716,1.0,0.9312,2.4151,4.9534,1.0057
TAP,2022,Q2,0.3164,0.4912,0.6449,0.9989,1.1763,1.0,1.0,2.395,1.5506,1.0011
TAP,2022,Q3,0.1189,0.2296,0.5625,0.9206,0.3932,1.0656,0.9148,1.7126,1.8942,0.9937
TAP,2022,FY,0.378,0.7636,0.5659,0.8745,1.0924,1.0,1.0,1.4306,1.767,1.1435
TAP,2023,Q1,0.5596,1.2148,0.5131,0.8977,1.0497,1.0,0.9173,0.8641,1.9488,1.0219
TAP,2023,Q2,0.2319,0.8957,0.2402,1.0776,0.9824,1.0137,1.0,1.0968,4.2197,0.928
TAP,2023,FY,0.5244,0.9832,0.6075,0.8779,0.9721,1.0,1.0,0.9887,1.646,1.1391
TAP,2024,Q2,1.3812,2.5391,0.5377,1.0116,1.1056,1.0,1.0,0.4354,1.8597,0.9885
TAP,2024,Q3,0.3734,1.7299,0.2208,0.9774,1.0244,1.0,0.9981,0.5922,4.5286,1.0211
TAP,2024,FY,0.6809,0.9975,0.6881,0.9921,1.1032,1.0,1.0,1.106,1.4533,1.008
TAP,2025,Q1,0.4798,0.6237,0.7786,0.9881,0.9695,1.048,0.9635,1.5545,1.346,0.9751
TAP,2025,Q2,0.3325,0.4802,0.7068,0.9797,0.9661,1.128,0.9828,2.0121,1.5959,1.0031
TAP,2025,Q3,0.4092,1.1284,0.4328,0.8379,0.967,0.5944,0.8455,0.8569,1.3734,1.009
TAP,2025,FY,0.4469,0.6565,0.7606,0.895,0.9495,0.8568,0.8207,1.4463,1.1265,0.917
