ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
THG,2020,Q2,0.5305,1.0,0.5606,0.9463,1.0,1.0,1.0,1.0,1.7837,1.0568
THG,2020,Q3,0.5301,1.0,0.5614,0.9442,1.0,1.0582,1.0,1.0,1.8848,1.0591
THG,2020,FY,0.1148,1.0,0.1664,0.6898,1.0,1.1454,1.0,1.0,6.8813,1.4498
THG,2022,Q1,0.0562,0.1566,0.3665,0.9794,1.0,1.0779,1.0,6.3858,2.9415,1.0211
THG,2022,Q2,0.3602,1.0565,0.3609,0.9446,1.0555,1.1104,1.0,0.9991,3.0769,1.0587
THG,2022,Q3,0.2828,0.5415,0.5365,0.9736,1.0904,1.0,1.0,2.0136,1.864,1.0271
THG,2022,FY,0.6594,1.6377,0.3982,1.0113,4.2163,1.0,1.0,2.5745,2.5116,0.9889
THG,2023,Q1,0.8324,1.4676,0.5771,0.9828,1.0379,1.0,1.0,0.7072,1.7328,1.0175
THG,2023,Q2,0.7316,1.3085,0.5923,0.9441,1.0005,1.0,1.0,0.7646,1.6885,1.0592
THG,2023,Q3,0.1799,0.507,0.3767,0.9422,0.394,1.0057,1.0,0.7771,2.6701,1.0613
THG,2023,FY,0.3353,1.0195,0.3468,0.9483,0.956,1.088,1.0,0.9376,3.1376,1.0545
THG,2024,Q1,0.3096,0.6708,0.4999,0.9233,1.0849,0.9918,1.0,1.6173,1.9839,1.0831
THG,2024,Q2,0.3551,0.7653,0.4855,0.9558,1.1886,1.0,1.0,1.5531,2.0597,1.0463
THG,2025,Q1,0.5296,1.0939,0.5394,0.8976,1.0744,1.0,1.0,0.9822,1.854,1.1141
THG,2025,Q2,0.7391,0.9184,0.8512,0.9455,1.0766,1.2084,1.0,1.1723,1.4196,1.0577
THG,2025,Q3,0.6058,0.6277,0.999,0.966,1.0979,1.3863,1.0,1.7491,1.3877,1.0352
THG,2025,FY,0.6699,0.7844,0.8668,0.9852,1.2614,1.1117,1.0,1.608,1.2825,1.015
THG,2026,Q1,0.6714,0.7579,0.909,0.9746,1.0969,1.1233,1.0,1.4474,1.2358,1.0261
