ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
TROW,2020,FY,0.1002,1.0,0.1453,0.6898,1.0,1.0,1.0,1.0,6.8813,1.4498
TROW,2021,Q3,0.4549,0.9006,0.5181,0.9749,1.0,1.6604,1.0,1.1104,3.2045,1.0257
TROW,2022,Q1,0.0521,0.1566,0.34,0.9794,1.0,1.0,1.0,6.3858,2.9415,1.0211
TROW,2022,Q2,1.8422,1.0009,1.9485,0.9446,1.0,5.9953,1.0,0.9991,3.0769,1.0587
TROW,2022,Q3,0.8599,1.2616,0.7001,0.9736,2.5404,1.3049,1.0,2.0136,1.864,1.0271
TROW,2023,Q1,1.1766,1.442,0.8302,0.9828,1.0198,1.4385,1.0,0.7072,1.7328,1.0175
TROW,2023,Q2,1.2207,1.0256,1.2607,0.9441,0.7842,2.1286,1.0,0.7646,1.6885,1.0592
TROW,2023,FY,2.3859,4.7216,0.5328,0.9483,4.4272,1.6718,1.0,0.9376,3.1376,1.0545
TROW,2024,Q1,0.3272,0.5103,0.6944,0.9233,0.8253,1.3777,1.0,1.6173,1.9839,1.0831
TROW,2024,Q2,0.4535,0.6853,0.6924,0.9558,1.0642,1.4262,1.0,1.5531,2.0597,1.0463
TROW,2024,Q3,0.2195,0.493,0.4651,0.9574,0.3597,1.0,1.0,0.7295,2.1503,1.0445
TROW,2024,FY,0.2278,0.7244,0.4465,0.7043,0.8457,1.316,1.0,1.1676,2.9473,1.4199
TROW,2025,Q1,0.8489,1.1589,0.8161,0.8976,1.1383,1.513,1.0,0.9822,1.854,1.1141
TROW,2025,Q2,1.5826,0.913,1.8335,0.9455,1.0702,2.6028,1.0,1.1723,1.4196,1.0577
TROW,2025,Q3,3.175,0.6063,5.4211,0.966,1.0604,7.5228,1.0,1.7491,1.3877,1.0352
TROW,2025,FY,0.7536,0.7011,1.091,0.9852,1.1274,1.3992,1.0,1.608,1.2825,1.015
TROW,2026,Q1,0.782,0.7331,1.0945,0.9746,1.061,1.3526,1.0,1.4474,1.2358,1.0261
