ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
TTC,2020,FY,0.5063,1.0,0.5804,0.8723,1.0,1.0,1.0,1.0,1.7229,1.1464
TTC,2021,Q3,0.118,0.5497,0.2481,0.8652,1.0,1.0,1.0,1.8193,4.0308,1.1558
TTC,2021,FY,1.0129,5.0068,0.2188,0.9244,4.7084,1.0,1.0,0.9404,4.5697,1.0818
TTC,2022,Q1,0.2934,0.5732,0.5569,0.9193,1.0,1.0,1.0,1.7445,1.7957,1.0878
TTC,2022,Q2,0.2676,0.7303,0.3999,0.9162,1.0,1.0,1.0,1.3694,2.5004,1.0914
TTC,2022,Q3,0.3569,1.1885,0.3384,0.8874,1.1146,1.0,1.0,0.9378,2.9554,1.1269
TTC,2023,Q1,0.262,0.8275,0.2981,1.0622,1.0683,1.0,1.1338,1.2911,3.3549,1.0674
TTC,2023,Q2,0.9254,2.1723,0.3898,1.0927,1.9914,1.0,1.2128,0.9167,2.5652,1.1099
TTC,2023,Q3,0.4232,0.9632,0.4532,0.9695,1.068,1.0,1.0,1.1088,2.2067,1.0314
TTC,2024,Q1,0.547,1.1785,0.506,0.9172,1.2318,1.0,1.0,1.0452,1.9762,1.0902
TTC,2024,Q3,0.1118,0.2473,0.4748,0.9525,0.3241,1.0,1.0,1.3106,2.1063,1.0499
TTC,2024,FY,0.3893,0.9966,0.4251,0.919,1.1576,1.0,1.0,1.1616,2.3526,1.0881
TTC,2025,Q1,0.2662,0.8162,0.3459,0.9429,0.8661,1.0,1.0,1.0611,2.891,1.0606
TTC,2025,Q2,0.3382,0.4301,0.68,1.1565,0.5422,1.1202,1.2441,1.2606,1.6473,1.0757
TTC,2025,Q3,1.0423,1.0145,0.8876,1.1575,0.9779,1.0496,1.2335,0.9639,1.1825,1.0657
TTC,2025,FY,0.5249,0.7092,0.93,0.7959,0.984,1.0754,1.0,1.3875,1.1563,1.2565
TTC,2026,Q1,0.7427,0.7285,0.9006,1.1321,1.0415,1.0701,1.1908,1.4297,1.1883,1.0518
TTC,2026,Q2,1.4393,1.0561,1.1761,1.1588,1.0561,1.1761,1.1588,1.0,1.0,1.0
