ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
TW,2020,FY,0.1068,1.0,0.1549,0.6898,1.0,1.0657,1.0,1.0,6.8813,1.4498
TW,2021,Q1,0.104,0.4463,0.2351,0.9911,1.0,1.0,1.0,2.2408,4.2533,1.009
TW,2021,Q2,0.0969,0.4728,0.2166,0.9463,1.0,1.0,1.0,2.1151,4.6159,1.0567
TW,2021,Q3,0.274,0.9006,0.3121,0.9749,1.0,1.0,1.0,1.1104,3.2045,1.0257
TW,2021,FY,0.3059,1.4013,0.2234,0.9773,1.2059,1.34,1.0,0.8605,5.9982,1.0233
TW,2022,Q2,0.3779,1.2309,0.325,0.9446,1.2298,1.0,1.0,0.9991,3.0769,1.0587
TW,2022,Q3,0.1043,0.1998,0.5365,0.9736,0.4023,1.0,1.0,2.0136,1.864,1.0271
TW,2023,Q1,0.9659,1.7029,0.5771,0.9828,1.2043,1.0,1.0,0.7072,1.7328,1.0175
TW,2023,Q2,0.833,1.4898,0.5923,0.9441,1.1392,1.0,1.0,0.7646,1.6885,1.0592
TW,2023,Q3,2.1621,4.3443,0.5282,0.9422,3.376,1.4103,1.0,0.7771,2.6701,1.0613
TW,2023,FY,0.356,1.1778,0.3187,0.9483,1.1044,1.0,1.0,0.9376,3.1376,1.0545
TW,2024,Q2,0.5771,0.8775,0.6881,0.9558,1.3628,1.4173,1.0,1.5531,2.0597,1.0463
TW,2024,Q3,0.3059,0.687,0.4651,0.9574,0.5012,1.0,1.0,0.7295,2.1503,1.0445
TW,2024,FY,0.2971,1.2435,0.3393,0.7043,1.4519,1.0,1.0,1.1676,2.9473,1.4199
TW,2025,Q1,0.6119,1.264,0.5394,0.8976,1.2414,1.0,1.0,0.9822,1.854,1.1141
TW,2025,Q2,1.4348,2.1542,0.7044,0.9455,2.5254,1.0,1.0,1.1723,1.4196,1.0577
TW,2025,Q3,0.4509,0.6477,0.7206,0.966,1.1329,1.0,1.0,1.7491,1.3877,1.0352
TW,2025,FY,1.031,0.7395,1.4151,0.9852,1.1892,1.8148,1.0,1.608,1.2825,1.015
TW,2026,Q1,1.3228,1.0442,1.2998,0.9746,1.5114,1.6063,1.0,1.4474,1.2358,1.0261
