ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
UAL,2020,FY,0.3467,1.0,0.3975,0.8723,1.0,0.6848,1.0,1.0,1.7229,1.1464
UAL,2021,Q1,0.0009,0.007,0.1453,0.9151,1.0,1.0,1.0418,143.2132,6.8836,1.1385
UAL,2021,Q2,0.0711,0.2709,0.2671,0.9825,1.0,1.0,1.1095,3.6914,3.7439,1.1293
UAL,2021,Q3,0.118,0.5497,0.2481,0.8652,1.0,1.0,1.0,1.8193,4.0308,1.1558
UAL,2022,Q3,0.2213,0.6919,0.3604,0.8874,0.6489,1.065,1.0,0.9378,2.9554,1.1269
UAL,2023,Q1,0.4298,1.8193,0.2522,0.9368,2.349,0.846,1.0,1.2911,3.3549,1.0674
UAL,2023,Q2,1.0416,2.8269,0.4218,0.8735,2.5915,1.082,0.9695,0.9167,2.5652,1.1099
UAL,2023,Q3,1.968,4.6652,0.4532,0.9309,5.173,1.0,0.9601,1.1088,2.2067,1.0314
UAL,2023,FY,0.3436,1.1167,0.3828,0.8038,1.6043,1.0,1.0,1.4366,2.6121,1.2441
UAL,2024,Q1,0.6596,1.4452,0.4976,0.9172,1.5106,0.9833,1.0,1.0452,1.9762,1.0902
UAL,2024,Q3,0.3378,0.8064,0.4748,0.8823,1.0568,1.0,0.9263,1.3106,2.1063,1.0499
UAL,2024,FY,0.624,1.571,0.4322,0.919,1.8249,1.0167,1.0,1.1616,2.3526,1.0881
UAL,2025,Q1,0.3272,1.0895,0.3459,0.8683,1.1561,1.0,0.9209,1.0611,2.891,1.0606
UAL,2025,Q2,0.519,0.8385,0.6658,0.9296,1.057,1.0968,1.0,1.2606,1.6473,1.0757
UAL,2025,Q3,0.2757,0.3728,0.9019,0.82,0.3594,1.0665,0.8738,0.9639,1.1825,1.0657
UAL,2025,FY,0.691,0.947,0.9168,0.7959,1.314,1.0602,1.0,1.3875,1.1563,1.2565
UAL,2026,Q1,0.5764,0.7733,0.8839,0.8434,1.1056,1.0503,0.8871,1.4297,1.1883,1.0518
UAL,2026,Q2,1.1375,1.1792,1.0477,0.9206,1.1792,1.0477,0.9206,1.0,1.0,1.0
